============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
9387: E[0:01:19]-R[0:05:43]: Return=-44.00, Steps=16, Features = 84
9558: E[0:01:21]-R[0:05:42]: Return=-100.00, Steps=78, Features = 84
9647: E[0:01:22]-R[0:05:42]: Return=-70.00, Steps=10, Features = 84
9727: E[0:01:23]-R[0:05:43]: Return=-92.00, Steps=19, Features = 84
9938: E[0:01:25]-R[0:05:41]: Return=-144.00, Steps=83, Features = 84
10000 >>> E[0:01:25]-R[0:05:40]: Return=-73.00, Steps=12, Features = 84
10118: E[0:01:26]-R[0:05:39]: Return=-114.00, Steps=40, Features = 84
10205: E[0:01:27]-R[0:05:39]: Return=-78.00, Steps=14, Features = 86
10312: E[0:01:28]-R[0:05:39]: Return=-28.00, Steps=19, Features = 86
10466: E[0:01:29]-R[0:05:37]: Return=-83.00, Steps=22, Features = 86
10596: E[0:01:30]-R[0:05:36]: Return=-78.00, Steps=17, Features = 87
10705: E[0:01:31]-R[0:05:35]: Return=-43.00, Steps=32, Features = 87
10850: E[0:01:32]-R[0:05:34]: Return=-54.00, Steps=24, Features = 87
10945: E[0:01:34]-R[0:05:34]: Return=-72.00, Steps=16, Features = 87
11071: E[0:01:35]-R[0:05:33]: Return=-74.00, Steps=10, Features = 87
11147: E[0:01:36]-R[0:05:34]: Return=-32.00, Steps=10, Features = 87
11282: E[0:01:37]-R[0:05:33]: Return=68.00, Steps=15, Features = 87
11388: E[0:01:38]-R[0:05:32]: Return=-56.00, Steps=13, Features = 87
11517: E[0:01:39]-R[0:05:31]: Return=-72.00, Steps=13, Features = 87
11659: E[0:01:40]-R[0:05:29]: Return=1.00, Steps=10, Features = 91
11761: E[0:01:41]-R[0:05:28]: Return=-117.00, Steps=43, Features = 91
11873: E[0:01:42]-R[0:05:28]: Return=-17.00, Steps=11, Features = 91
12048: E[0:01:43]-R[0:05:25]: Return=-81.00, Steps=43, Features = 91
12170: E[0:01:44]-R[0:05:24]: Return=-227.00, Steps=112, Features = 91
12266: E[0:01:45]-R[0:05:24]: Return=-73.00, Steps=37, Features = 91
12424: E[0:01:46]-R[0:05:22]: Return=-38.00, Steps=35, Features = 91
12586: E[0:01:47]-R[0:05:19]: Return=-82.00, Steps=21, Features = 91
12751: E[0:01:49]-R[0:05:17]: Return=-84.00, Steps=16, Features = 91
12923: E[0:01:50]-R[0:05:15]: Return=-67.00, Steps=40, Features = 91
13076: E[0:01:51]-R[0:05:14]: Return=-134.00, Steps=63, Features = 91
13215: E[0:01:52]-R[0:05:12]: Return=-86.00, Steps=17, Features = 91
13354: E[0:01:53]-R[0:05:10]: Return=-126.00, Steps=42, Features = 91
13482: E[0:01:54]-R[0:05:10]: Return=-113.00, Steps=46, Features = 91
