============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/4-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
109: E[0:00:01]-R[0:07:44]: Return=-59.00, Steps=10, Features = 54
213: E[0:00:02]-R[0:08:07]: Return=-77.00, Steps=14, Features = 54
322: E[0:00:03]-R[0:08:07]: Return=-83.00, Steps=33, Features = 55
411: E[0:00:04]-R[0:08:41]: Return=-93.00, Steps=20, Features = 58
494: E[0:00:05]-R[0:09:02]: Return=-74.00, Steps=20, Features = 60
605: E[0:00:06]-R[0:08:50]: Return=-73.00, Steps=12, Features = 60
724: E[0:00:08]-R[0:08:31]: Return=-51.00, Steps=10, Features = 62
882: E[0:00:09]-R[0:07:56]: Return=-51.00, Steps=10, Features = 65
1026: E[0:00:10]-R[0:07:38]: Return=-66.00, Steps=10, Features = 66
1155: E[0:00:11]-R[0:07:35]: Return=-99.00, Steps=24, Features = 66
1264: E[0:00:12]-R[0:07:39]: Return=-96.00, Steps=26, Features = 67
1421: E[0:00:13]-R[0:07:21]: Return=-74.00, Steps=11, Features = 67
1563: E[0:00:14]-R[0:07:17]: Return=-116.00, Steps=82, Features = 67
1698: E[0:00:15]-R[0:07:11]: Return=-52.00, Steps=10, Features = 67
1818: E[0:00:16]-R[0:07:09]: Return=-149.00, Steps=55, Features = 71
1962: E[0:00:17]-R[0:07:01]: Return=-77.00, Steps=13, Features = 71
2077: E[0:00:18]-R[0:07:02]: Return=-75.00, Steps=23, Features = 73
2217: E[0:00:19]-R[0:06:56]: Return=-66.00, Steps=11, Features = 73
2374: E[0:00:20]-R[0:06:48]: Return=-74.00, Steps=21, Features = 73
