============================================================
Domain:		NetworkAdmin
Dimensions:	5
|S|:		32
|A|:		6
|S|x|A|:		192
Episode Cap:	200
Gamma:		0.9
============================================================
Representation:		Tabular
Starting Features:	32
Aggregated States:	32
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/NetworkAdmin-SARSA-Tabular/5-5-result.txt
Max Steps: 		200000
Performance Checks:	10
400: E[0:00:02]-R[0:15:17]: Return=84.75, Steps=200, Features = 32
600: E[0:00:03]-R[0:16:09]: Return=177.25, Steps=200, Features = 32
800: E[0:00:04]-R[0:16:30]: Return=159.25, Steps=200, Features = 32
1200: E[0:00:06]-R[0:16:34]: Return=200.50, Steps=200, Features = 32
1400: E[0:00:07]-R[0:16:44]: Return=209.50, Steps=200, Features = 32
1800: E[0:00:09]-R[0:16:51]: Return=109.75, Steps=200, Features = 32
2000: E[0:00:10]-R[0:16:56]: Return=148.00, Steps=200, Features = 32
2200: E[0:00:11]-R[0:17:01]: Return=222.75, Steps=200, Features = 32
2600: E[0:00:13]-R[0:16:47]: Return=130.75, Steps=200, Features = 32
3000: E[0:00:15]-R[0:16:44]: Return=136.25, Steps=200, Features = 32
3400: E[0:00:17]-R[0:16:25]: Return=128.50, Steps=200, Features = 32
3800: E[0:00:19]-R[0:16:20]: Return=190.00, Steps=200, Features = 32
4200: E[0:00:21]-R[0:16:14]: Return=112.00, Steps=200, Features = 32
4400: E[0:00:22]-R[0:16:13]: Return=102.25, Steps=200, Features = 32
4600: E[0:00:23]-R[0:16:15]: Return=99.00, Steps=200, Features = 32
5000: E[0:00:25]-R[0:16:14]: Return=79.00, Steps=200, Features = 32
5200: E[0:00:26]-R[0:16:13]: Return=125.75, Steps=200, Features = 32
5600: E[0:00:28]-R[0:16:09]: Return=151.25, Steps=200, Features = 32
5800: E[0:00:29]-R[0:16:11]: Return=132.00, Steps=200, Features = 32
6200: E[0:00:31]-R[0:16:02]: Return=145.75, Steps=200, Features = 32
6600: E[0:00:32]-R[0:15:52]: Return=147.00, Steps=200, Features = 32
7000: E[0:00:34]-R[0:15:45]: Return=81.25, Steps=200, Features = 32
7200: E[0:00:35]-R[0:15:45]: Return=176.25, Steps=200, Features = 32
7400: E[0:00:36]-R[0:15:46]: Return=145.00, Steps=200, Features = 32
7800: E[0:00:38]-R[0:15:47]: Return=172.50, Steps=200, Features = 32
8200: E[0:00:40]-R[0:15:42]: Return=146.50, Steps=200, Features = 32
8600: E[0:00:42]-R[0:15:36]: Return=133.75, Steps=200, Features = 32
9000: E[0:00:44]-R[0:15:30]: Return=122.75, Steps=200, Features = 32
9400: E[0:00:46]-R[0:15:27]: Return=120.75, Steps=200, Features = 32
9800: E[0:00:47]-R[0:15:08]: Return=86.00, Steps=200, Features = 32
