============================================================
Domain:		NetworkAdmin
Dimensions:	5
|S|:		32
|A|:		6
|S|x|A|:		192
Episode Cap:	200
Gamma:		0.9
============================================================
Representation:		Tabular
Starting Features:	32
Aggregated States:	32
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/NetworkAdmin-SARSA-Tabular/3-3-result.txt
Max Steps: 		200000
Performance Checks:	10
200: E[0:00:01]-R[0:16:58]: Return=173.25, Steps=200, Features = 32
600: E[0:00:03]-R[0:16:26]: Return=154.25, Steps=200, Features = 32
800: E[0:00:04]-R[0:16:46]: Return=153.25, Steps=200, Features = 32
1200: E[0:00:06]-R[0:16:39]: Return=80.50, Steps=200, Features = 32
1400: E[0:00:07]-R[0:16:54]: Return=144.75, Steps=200, Features = 32
1800: E[0:00:09]-R[0:16:36]: Return=144.25, Steps=200, Features = 32
2200: E[0:00:11]-R[0:16:33]: Return=167.75, Steps=200, Features = 32
2600: E[0:00:13]-R[0:16:07]: Return=121.50, Steps=200, Features = 32
2800: E[0:00:14]-R[0:16:10]: Return=101.25, Steps=200, Features = 32
3200: E[0:00:15]-R[0:15:47]: Return=111.75, Steps=200, Features = 32
3400: E[0:00:16]-R[0:15:53]: Return=162.75, Steps=200, Features = 32
3800: E[0:00:18]-R[0:15:53]: Return=121.50, Steps=200, Features = 32
4000: E[0:00:20]-R[0:15:59]: Return=114.25, Steps=200, Features = 32
4400: E[0:00:22]-R[0:15:57]: Return=166.25, Steps=200, Features = 32
4600: E[0:00:23]-R[0:15:59]: Return=144.50, Steps=200, Features = 32
4800: E[0:00:24]-R[0:16:00]: Return=57.00, Steps=200, Features = 32
5000: E[0:00:25]-R[0:16:00]: Return=88.25, Steps=200, Features = 32
5400: E[0:00:26]-R[0:15:53]: Return=180.75, Steps=200, Features = 32
5800: E[0:00:28]-R[0:15:49]: Return=79.25, Steps=200, Features = 32
6200: E[0:00:30]-R[0:15:46]: Return=153.50, Steps=200, Features = 32
6600: E[0:00:32]-R[0:15:48]: Return=95.50, Steps=200, Features = 32
7000: E[0:00:34]-R[0:15:43]: Return=100.50, Steps=200, Features = 32
7400: E[0:00:36]-R[0:15:45]: Return=122.00, Steps=200, Features = 32
7800: E[0:00:38]-R[0:15:39]: Return=153.75, Steps=200, Features = 32
8200: E[0:00:40]-R[0:15:36]: Return=165.25, Steps=200, Features = 32
8400: E[0:00:41]-R[0:15:36]: Return=131.00, Steps=200, Features = 32
8800: E[0:00:43]-R[0:15:32]: Return=184.00, Steps=200, Features = 32
9000: E[0:00:44]-R[0:15:34]: Return=232.25, Steps=200, Features = 32
9200: E[0:00:45]-R[0:15:34]: Return=157.75, Steps=200, Features = 32
9600: E[0:00:47]-R[0:15:33]: Return=165.25, Steps=200, Features = 32
10000: E[0:00:49]-R[0:15:32]: Return=157.75, Steps=200, Features = 32
10400: E[0:00:51]-R[0:15:26]: Return=169.75, Steps=200, Features = 32
10800: E[0:00:53]-R[0:15:21]: Return=119.25, Steps=200, Features = 32
11200: E[0:00:55]-R[0:15:20]: Return=150.25, Steps=200, Features = 32
11600: E[0:00:56]-R[0:15:16]: Return=162.50, Steps=200, Features = 32
12000: E[0:00:58]-R[0:15:12]: Return=127.25, Steps=200, Features = 32
12400: E[0:01:00]-R[0:15:10]: Return=177.50, Steps=200, Features = 32
12800: E[0:01:02]-R[0:15:06]: Return=101.00, Steps=200, Features = 32
