============================================================
Domain:		NetworkAdmin
Dimensions:	5
|S|:		32
|A|:		6
|S|x|A|:		192
Episode Cap:	200
Gamma:		0.9
============================================================
Representation:		Tabular
Starting Features:	32
Aggregated States:	32
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/NetworkAdmin-SARSA-Tabular/1-1-result.txt
Max Steps: 		200000
Performance Checks:	10
200: E[0:00:01]-R[0:17:12]: Return=63.25, Steps=200, Features = 32
600: E[0:00:03]-R[0:16:43]: Return=101.00, Steps=200, Features = 32
800: E[0:00:04]-R[0:16:51]: Return=111.75, Steps=200, Features = 32
1200: E[0:00:06]-R[0:16:34]: Return=172.25, Steps=200, Features = 32
1400: E[0:00:07]-R[0:16:48]: Return=114.75, Steps=200, Features = 32
1800: E[0:00:09]-R[0:16:31]: Return=103.00, Steps=200, Features = 32
2200: E[0:00:11]-R[0:15:56]: Return=157.75, Steps=200, Features = 32
2600: E[0:00:12]-R[0:15:47]: Return=123.75, Steps=200, Features = 32
3000: E[0:00:14]-R[0:15:46]: Return=157.75, Steps=200, Features = 32
3200: E[0:00:16]-R[0:15:55]: Return=124.00, Steps=200, Features = 32
3400: E[0:00:17]-R[0:16:02]: Return=91.75, Steps=200, Features = 32
3800: E[0:00:18]-R[0:15:53]: Return=115.00, Steps=200, Features = 32
4200: E[0:00:20]-R[0:15:44]: Return=171.00, Steps=200, Features = 32
4600: E[0:00:22]-R[0:15:44]: Return=147.50, Steps=200, Features = 32
4800: E[0:00:23]-R[0:15:46]: Return=129.25, Steps=200, Features = 32
5000: E[0:00:24]-R[0:15:49]: Return=125.75, Steps=200, Features = 32
5200: E[0:00:25]-R[0:15:51]: Return=196.00, Steps=200, Features = 32
5600: E[0:00:27]-R[0:15:47]: Return=98.25, Steps=200, Features = 32
6000: E[0:00:29]-R[0:15:42]: Return=177.25, Steps=200, Features = 32
6400: E[0:00:31]-R[0:15:36]: Return=126.25, Steps=200, Features = 32
6600: E[0:00:32]-R[0:15:42]: Return=142.00, Steps=200, Features = 32
7000: E[0:00:34]-R[0:15:39]: Return=137.75, Steps=200, Features = 32
7200: E[0:00:35]-R[0:15:39]: Return=172.25, Steps=200, Features = 32
7400: E[0:00:36]-R[0:15:44]: Return=137.75, Steps=200, Features = 32
7800: E[0:00:38]-R[0:15:39]: Return=101.50, Steps=200, Features = 32
8000: E[0:00:39]-R[0:15:41]: Return=155.75, Steps=200, Features = 32
8400: E[0:00:41]-R[0:15:40]: Return=136.75, Steps=200, Features = 32
8600: E[0:00:42]-R[0:15:40]: Return=121.00, Steps=200, Features = 32
8800: E[0:00:43]-R[0:15:40]: Return=122.75, Steps=200, Features = 32
9000: E[0:00:44]-R[0:15:40]: Return=98.00, Steps=200, Features = 32
9400: E[0:00:46]-R[0:15:39]: Return=127.75, Steps=200, Features = 32
9600: E[0:00:47]-R[0:15:41]: Return=161.25, Steps=200, Features = 32
10000: E[0:00:49]-R[0:15:39]: Return=190.75, Steps=200, Features = 32
10400: E[0:00:51]-R[0:15:37]: Return=105.50, Steps=200, Features = 32
10800: E[0:00:53]-R[0:15:33]: Return=136.00, Steps=200, Features = 32
11200: E[0:00:55]-R[0:15:28]: Return=154.25, Steps=200, Features = 32
11600: E[0:00:57]-R[0:15:26]: Return=165.50, Steps=200, Features = 32
12000: E[0:00:59]-R[0:15:23]: Return=164.00, Steps=200, Features = 32
12400: E[0:01:01]-R[0:15:18]: Return=130.25, Steps=200, Features = 32
12800: E[0:01:03]-R[0:15:15]: Return=122.50, Steps=200, Features = 32
13200: E[0:01:04]-R[0:15:12]: Return=149.50, Steps=200, Features = 32
13400: E[0:01:06]-R[0:15:12]: Return=145.50, Steps=200, Features = 32
13600: E[0:01:07]-R[0:15:12]: Return=178.00, Steps=200, Features = 32
14000: E[0:01:08]-R[0:15:02]: Return=194.75, Steps=200, Features = 32
14400: E[0:01:10]-R[0:14:57]: Return=157.25, Steps=200, Features = 32
14800: E[0:01:11]-R[0:14:53]: Return=134.50, Steps=200, Features = 32
15200: E[0:01:13]-R[0:14:50]: Return=141.00, Steps=200, Features = 32
15600: E[0:01:15]-R[0:14:48]: Return=137.75, Steps=200, Features = 32
16000: E[0:01:17]-R[0:14:45]: Return=77.75, Steps=200, Features = 32
16400: E[0:01:19]-R[0:14:43]: Return=127.00, Steps=200, Features = 32
16800: E[0:01:21]-R[0:14:39]: Return=112.00, Steps=200, Features = 32
17000: E[0:01:22]-R[0:14:40]: Return=164.75, Steps=200, Features = 32
17200: E[0:01:23]-R[0:14:40]: Return=144.50, Steps=200, Features = 32
17400: E[0:01:24]-R[0:14:40]: Return=135.50, Steps=200, Features = 32
17600: E[0:01:25]-R[0:14:40]: Return=110.75, Steps=200, Features = 32
18000: E[0:01:27]-R[0:14:35]: Return=150.75, Steps=200, Features = 32
18400: E[0:01:28]-R[0:14:33]: Return=185.75, Steps=200, Features = 32
18800: E[0:01:30]-R[0:14:29]: Return=170.00, Steps=200, Features = 32
19200: E[0:01:32]-R[0:14:28]: Return=186.25, Steps=200, Features = 32
19600: E[0:01:34]-R[0:14:26]: Return=81.50, Steps=200, Features = 32
20000: E[0:01:35]-R[0:14:19]: Return=213.75, Steps=200, Features = 32
20000 >>> E[0:01:36]-R[0:14:22]: Return=120.00, Steps=200, Features = 32
20400: E[0:01:38]-R[0:14:19]: Return=129.50, Steps=200, Features = 32
20800: E[0:01:40]-R[0:14:18]: Return=163.00, Steps=200, Features = 32
21200: E[0:01:41]-R[0:14:16]: Return=139.50, Steps=200, Features = 32
21600: E[0:01:43]-R[0:14:14]: Return=124.75, Steps=200, Features = 32
21800: E[0:01:45]-R[0:14:14]: Return=98.50, Steps=200, Features = 32
22200: E[0:01:47]-R[0:14:14]: Return=134.25, Steps=200, Features = 32
22600: E[0:01:49]-R[0:14:12]: Return=175.25, Steps=200, Features = 32
23000: E[0:01:50]-R[0:14:09]: Return=162.50, Steps=200, Features = 32
23200: E[0:01:51]-R[0:14:09]: Return=102.00, Steps=200, Features = 32
23600: E[0:01:53]-R[0:14:07]: Return=184.25, Steps=200, Features = 32
23800: E[0:01:54]-R[0:14:07]: Return=205.25, Steps=200, Features = 32
24200: E[0:01:56]-R[0:14:05]: Return=86.75, Steps=200, Features = 32
24600: E[0:01:58]-R[0:14:04]: Return=129.25, Steps=200, Features = 32
25000: E[0:02:00]-R[0:14:03]: Return=180.25, Steps=200, Features = 32
25400: E[0:02:03]-R[0:14:02]: Return=146.75, Steps=200, Features = 32
25600: E[0:02:04]-R[0:14:01]: Return=194.25, Steps=200, Features = 32
26000: E[0:02:05]-R[0:13:59]: Return=155.00, Steps=200, Features = 32
26400: E[0:02:07]-R[0:13:57]: Return=186.75, Steps=200, Features = 32
26800: E[0:02:09]-R[0:13:55]: Return=206.50, Steps=200, Features = 32
27000: E[0:02:10]-R[0:13:54]: Return=236.75, Steps=200, Features = 32
27400: E[0:02:12]-R[0:13:53]: Return=112.50, Steps=200, Features = 32
27800: E[0:02:14]-R[0:13:51]: Return=152.50, Steps=200, Features = 32
28000: E[0:02:15]-R[0:13:50]: Return=143.50, Steps=200, Features = 32
28200: E[0:02:16]-R[0:13:50]: Return=112.50, Steps=200, Features = 32
28400: E[0:02:17]-R[0:13:50]: Return=105.75, Steps=200, Features = 32
28800: E[0:02:19]-R[0:13:47]: Return=221.50, Steps=200, Features = 32
29000: E[0:02:20]-R[0:13:47]: Return=182.25, Steps=200, Features = 32
29400: E[0:02:22]-R[0:13:45]: Return=112.25, Steps=200, Features = 32
29800: E[0:02:24]-R[0:13:44]: Return=148.00, Steps=200, Features = 32
30200: E[0:02:26]-R[0:13:42]: Return=202.00, Steps=200, Features = 32
30400: E[0:02:27]-R[0:13:42]: Return=92.75, Steps=200, Features = 32
30800: E[0:02:29]-R[0:13:37]: Return=119.00, Steps=200, Features = 32
31200: E[0:02:31]-R[0:13:34]: Return=100.00, Steps=200, Features = 32
31600: E[0:02:32]-R[0:13:31]: Return=126.00, Steps=200, Features = 32
32000: E[0:02:34]-R[0:13:28]: Return=90.50, Steps=200, Features = 32
32400: E[0:02:36]-R[0:13:26]: Return=134.75, Steps=200, Features = 32
32800: E[0:02:38]-R[0:13:24]: Return=96.50, Steps=200, Features = 32
33000: E[0:02:39]-R[0:13:23]: Return=126.25, Steps=200, Features = 32
33400: E[0:02:40]-R[0:13:20]: Return=249.25, Steps=200, Features = 32
33800: E[0:02:42]-R[0:13:17]: Return=145.50, Steps=200, Features = 32
34200: E[0:02:44]-R[0:13:15]: Return=185.50, Steps=200, Features = 32
34400: E[0:02:45]-R[0:13:15]: Return=125.75, Steps=200, Features = 32
34600: E[0:02:46]-R[0:13:14]: Return=99.50, Steps=200, Features = 32
35000: E[0:02:48]-R[0:13:12]: Return=86.50, Steps=200, Features = 32
35200: E[0:02:49]-R[0:13:12]: Return=211.75, Steps=200, Features = 32
35400: E[0:02:50]-R[0:13:11]: Return=120.25, Steps=200, Features = 32
35600: E[0:02:51]-R[0:13:10]: Return=146.00, Steps=200, Features = 32
35800: E[0:02:52]-R[0:13:10]: Return=110.25, Steps=200, Features = 32
36000: E[0:02:53]-R[0:13:10]: Return=128.50, Steps=200, Features = 32
36200: E[0:02:55]-R[0:13:10]: Return=112.50, Steps=200, Features = 32
36400: E[0:02:56]-R[0:13:10]: Return=153.50, Steps=200, Features = 32
36600: E[0:02:57]-R[0:13:09]: Return=144.75, Steps=200, Features = 32
37000: E[0:02:59]-R[0:13:07]: Return=167.00, Steps=200, Features = 32
37400: E[0:03:00]-R[0:13:04]: Return=132.50, Steps=200, Features = 32
37800: E[0:03:02]-R[0:13:02]: Return=144.25, Steps=200, Features = 32
38000: E[0:03:03]-R[0:13:02]: Return=185.25, Steps=200, Features = 32
38400: E[0:03:05]-R[0:13:00]: Return=194.50, Steps=200, Features = 32
38800: E[0:03:07]-R[0:12:57]: Return=189.50, Steps=200, Features = 32
39200: E[0:03:09]-R[0:12:55]: Return=114.50, Steps=200, Features = 32
39600: E[0:03:11]-R[0:12:52]: Return=107.75, Steps=200, Features = 32
40000: E[0:03:12]-R[0:12:50]: Return=129.25, Steps=200, Features = 32
40000 >>> E[0:03:13]-R[0:12:52]: Return=-18.00, Steps=200, Features = 32
40400: E[0:03:15]-R[0:12:50]: Return=178.25, Steps=200, Features = 32
40600: E[0:03:16]-R[0:12:49]: Return=201.25, Steps=200, Features = 32
41000: E[0:03:18]-R[0:12:47]: Return=195.00, Steps=200, Features = 32
41400: E[0:03:19]-R[0:12:44]: Return=140.25, Steps=200, Features = 32
41800: E[0:03:21]-R[0:12:42]: Return=138.75, Steps=200, Features = 32
42000: E[0:03:22]-R[0:12:41]: Return=111.00, Steps=200, Features = 32
42200: E[0:03:23]-R[0:12:41]: Return=124.25, Steps=200, Features = 32
42600: E[0:03:25]-R[0:12:39]: Return=153.25, Steps=200, Features = 32
42800: E[0:03:26]-R[0:12:38]: Return=139.00, Steps=200, Features = 32
43200: E[0:03:28]-R[0:12:36]: Return=145.50, Steps=200, Features = 32
43400: E[0:03:29]-R[0:12:35]: Return=144.75, Steps=200, Features = 32
43800: E[0:03:31]-R[0:12:33]: Return=163.50, Steps=200, Features = 32
44200: E[0:03:33]-R[0:12:31]: Return=105.00, Steps=200, Features = 32
44600: E[0:03:35]-R[0:12:28]: Return=123.25, Steps=200, Features = 32
45000: E[0:03:37]-R[0:12:27]: Return=166.50, Steps=200, Features = 32
45200: E[0:03:38]-R[0:12:26]: Return=132.75, Steps=200, Features = 32
45600: E[0:03:40]-R[0:12:24]: Return=104.00, Steps=200, Features = 32
46000: E[0:03:42]-R[0:12:22]: Return=127.75, Steps=200, Features = 32
46400: E[0:03:43]-R[0:12:19]: Return=153.75, Steps=200, Features = 32
46800: E[0:03:45]-R[0:12:18]: Return=197.75, Steps=200, Features = 32
47200: E[0:03:47]-R[0:12:15]: Return=139.50, Steps=200, Features = 32
47600: E[0:03:49]-R[0:12:13]: Return=87.25, Steps=200, Features = 32
47800: E[0:03:50]-R[0:12:13]: Return=95.25, Steps=200, Features = 32
48200: E[0:03:52]-R[0:12:11]: Return=94.00, Steps=200, Features = 32
48400: E[0:03:53]-R[0:12:10]: Return=169.75, Steps=200, Features = 32
48800: E[0:03:55]-R[0:12:09]: Return=100.75, Steps=200, Features = 32
49200: E[0:03:57]-R[0:12:06]: Return=137.50, Steps=200, Features = 32
49600: E[0:03:59]-R[0:12:04]: Return=143.75, Steps=200, Features = 32
49800: E[0:04:00]-R[0:12:04]: Return=245.50, Steps=200, Features = 32
50200: E[0:04:02]-R[0:12:02]: Return=128.00, Steps=200, Features = 32
50400: E[0:04:03]-R[0:12:02]: Return=97.25, Steps=200, Features = 32
50800: E[0:04:05]-R[0:11:59]: Return=131.25, Steps=200, Features = 32
51200: E[0:04:07]-R[0:11:57]: Return=84.25, Steps=200, Features = 32
51400: E[0:04:08]-R[0:11:56]: Return=100.25, Steps=200, Features = 32
51600: E[0:04:09]-R[0:11:55]: Return=164.25, Steps=200, Features = 32
51800: E[0:04:10]-R[0:11:55]: Return=273.50, Steps=200, Features = 32
52000: E[0:04:11]-R[0:11:54]: Return=234.25, Steps=200, Features = 32
52400: E[0:04:13]-R[0:11:52]: Return=152.75, Steps=200, Features = 32
