============================================================
Domain:		NetworkAdmin
Dimensions:	5
|S|:		32
|A|:		6
|S|x|A|:		192
Episode Cap:	200
Gamma:		0.9
============================================================
Representation:		Tabular
Starting Features:	32
Aggregated States:	32
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/NetworkAdmin-SARSA-Tabular/4-4-result.txt
Max Steps: 		200000
Performance Checks:	10
400: E[0:00:02]-R[0:15:05]: Return=165.00, Steps=200, Features = 32
600: E[0:00:03]-R[0:16:12]: Return=190.00, Steps=200, Features = 32
1000: E[0:00:05]-R[0:15:50]: Return=138.75, Steps=200, Features = 32
1200: E[0:00:06]-R[0:16:00]: Return=175.00, Steps=200, Features = 32
1600: E[0:00:08]-R[0:15:44]: Return=114.50, Steps=200, Features = 32
2000: E[0:00:10]-R[0:15:46]: Return=127.25, Steps=200, Features = 32
2400: E[0:00:11]-R[0:15:43]: Return=130.00, Steps=200, Features = 32
2800: E[0:00:13]-R[0:15:33]: Return=168.50, Steps=200, Features = 32
3200: E[0:00:15]-R[0:15:17]: Return=153.75, Steps=200, Features = 32
3600: E[0:00:17]-R[0:15:18]: Return=231.00, Steps=200, Features = 32
4000: E[0:00:19]-R[0:15:19]: Return=126.75, Steps=200, Features = 32
4400: E[0:00:20]-R[0:15:08]: Return=105.75, Steps=200, Features = 32
4800: E[0:00:22]-R[0:15:14]: Return=126.25, Steps=200, Features = 32
5000: E[0:00:24]-R[0:15:17]: Return=147.00, Steps=200, Features = 32
5400: E[0:00:25]-R[0:15:16]: Return=123.00, Steps=200, Features = 32
5800: E[0:00:27]-R[0:15:11]: Return=121.50, Steps=200, Features = 32
6200: E[0:00:29]-R[0:15:09]: Return=145.00, Steps=200, Features = 32
6600: E[0:00:31]-R[0:15:08]: Return=144.25, Steps=200, Features = 32
7000: E[0:00:33]-R[0:14:58]: Return=93.50, Steps=200, Features = 32
7400: E[0:00:34]-R[0:14:53]: Return=112.50, Steps=200, Features = 32
7600: E[0:00:35]-R[0:14:55]: Return=194.50, Steps=200, Features = 32
7800: E[0:00:36]-R[0:14:57]: Return=165.50, Steps=200, Features = 32
8200: E[0:00:38]-R[0:14:54]: Return=141.25, Steps=200, Features = 32
8600: E[0:00:40]-R[0:14:50]: Return=80.00, Steps=200, Features = 32
9000: E[0:00:42]-R[0:14:45]: Return=142.75, Steps=200, Features = 32
9200: E[0:00:43]-R[0:14:47]: Return=208.00, Steps=200, Features = 32
9600: E[0:00:44]-R[0:14:41]: Return=144.25, Steps=200, Features = 32
9800: E[0:00:45]-R[0:14:42]: Return=146.25, Steps=200, Features = 32
10000: E[0:00:47]-R[0:14:44]: Return=163.25, Steps=200, Features = 32
10200: E[0:00:48]-R[0:14:47]: Return=154.50, Steps=200, Features = 32
10600: E[0:00:50]-R[0:14:48]: Return=135.75, Steps=200, Features = 32
11000: E[0:00:52]-R[0:14:48]: Return=131.75, Steps=200, Features = 32
11400: E[0:00:54]-R[0:14:48]: Return=141.75, Steps=200, Features = 32
11800: E[0:00:56]-R[0:14:48]: Return=81.50, Steps=200, Features = 32
12200: E[0:00:58]-R[0:14:46]: Return=118.00, Steps=200, Features = 32
12400: E[0:00:59]-R[0:14:47]: Return=156.25, Steps=200, Features = 32
12800: E[0:01:01]-R[0:14:46]: Return=167.25, Steps=200, Features = 32
13200: E[0:01:03]-R[0:14:48]: Return=117.50, Steps=200, Features = 32
13600: E[0:01:05]-R[0:14:45]: Return=84.25, Steps=200, Features = 32
14000: E[0:01:06]-R[0:14:43]: Return=175.75, Steps=200, Features = 32
14200: E[0:01:08]-R[0:14:44]: Return=101.75, Steps=200, Features = 32
14600: E[0:01:10]-R[0:14:45]: Return=141.25, Steps=200, Features = 32
14800: E[0:01:11]-R[0:14:44]: Return=167.25, Steps=200, Features = 32
15200: E[0:01:13]-R[0:14:43]: Return=203.50, Steps=200, Features = 32
15400: E[0:01:14]-R[0:14:43]: Return=215.00, Steps=200, Features = 32
15800: E[0:01:16]-R[0:14:42]: Return=151.00, Steps=200, Features = 32
16000: E[0:01:17]-R[0:14:42]: Return=177.00, Steps=200, Features = 32
16200: E[0:01:18]-R[0:14:42]: Return=128.00, Steps=200, Features = 32
16600: E[0:01:20]-R[0:14:39]: Return=202.75, Steps=200, Features = 32
17000: E[0:01:21]-R[0:14:33]: Return=129.25, Steps=200, Features = 32
17400: E[0:01:23]-R[0:14:29]: Return=81.75, Steps=200, Features = 32
17800: E[0:01:24]-R[0:14:25]: Return=103.00, Steps=200, Features = 32
18200: E[0:01:26]-R[0:14:23]: Return=134.75, Steps=200, Features = 32
18600: E[0:01:28]-R[0:14:22]: Return=116.25, Steps=200, Features = 32
19000: E[0:01:30]-R[0:14:20]: Return=142.25, Steps=200, Features = 32
19400: E[0:01:32]-R[0:14:16]: Return=138.25, Steps=200, Features = 32
19800: E[0:01:34]-R[0:14:13]: Return=93.75, Steps=200, Features = 32
20000 >>> E[0:01:35]-R[0:14:16]: Return=-53.00, Steps=200, Features = 32
20200: E[0:01:36]-R[0:14:16]: Return=74.00, Steps=200, Features = 32
20600: E[0:01:38]-R[0:14:14]: Return=153.00, Steps=200, Features = 32
21000: E[0:01:40]-R[0:14:13]: Return=171.25, Steps=200, Features = 32
21400: E[0:01:42]-R[0:14:11]: Return=98.25, Steps=200, Features = 32
21600: E[0:01:43]-R[0:14:11]: Return=173.00, Steps=200, Features = 32
21800: E[0:01:44]-R[0:14:11]: Return=158.00, Steps=200, Features = 32
22200: E[0:01:46]-R[0:14:08]: Return=153.25, Steps=200, Features = 32
22400: E[0:01:47]-R[0:14:08]: Return=154.00, Steps=200, Features = 32
22800: E[0:01:49]-R[0:14:07]: Return=143.00, Steps=200, Features = 32
23200: E[0:01:51]-R[0:14:06]: Return=82.50, Steps=200, Features = 32
23400: E[0:01:52]-R[0:14:06]: Return=250.00, Steps=200, Features = 32
23800: E[0:01:54]-R[0:14:03]: Return=144.50, Steps=200, Features = 32
24000: E[0:01:55]-R[0:14:03]: Return=128.50, Steps=200, Features = 32
24200: E[0:01:56]-R[0:14:03]: Return=156.25, Steps=200, Features = 32
24600: E[0:01:58]-R[0:14:02]: Return=113.25, Steps=200, Features = 32
25000: E[0:02:00]-R[0:13:58]: Return=219.00, Steps=200, Features = 32
25400: E[0:02:01]-R[0:13:53]: Return=127.50, Steps=200, Features = 32
25800: E[0:02:03]-R[0:13:50]: Return=180.75, Steps=200, Features = 32
26200: E[0:02:05]-R[0:13:47]: Return=142.50, Steps=200, Features = 32
26600: E[0:02:07]-R[0:13:45]: Return=136.00, Steps=200, Features = 32
27000: E[0:02:08]-R[0:13:43]: Return=170.50, Steps=200, Features = 32
