============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	75.000
Batch Threshold:		75.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-75/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
131: E[0:00:02]-R[0:09:58]: Return=-179.00, Steps=131, Features = 52
240: E[0:00:03]-R[0:09:12]: Return=-87.00, Steps=18, Features = 54
327: E[0:00:04]-R[0:09:43]: Return=-84.00, Steps=18, Features = 57
466: E[0:00:05]-R[0:08:40]: Return=-56.00, Steps=10, Features = 64
606: E[0:00:06]-R[0:08:03]: Return=-55.00, Steps=11, Features = 70
740: E[0:00:07]-R[0:07:44]: Return=-71.00, Steps=10, Features = 76
840: E[0:00:08]-R[0:07:47]: Return=-50.00, Steps=10, Features = 79
987: E[0:00:09]-R[0:07:28]: Return=-67.00, Steps=12, Features = 80
1088: E[0:00:10]-R[0:07:33]: Return=-16.00, Steps=10, Features = 81
1200: E[0:00:11]-R[0:07:31]: Return=-26.00, Steps=23, Features = 82
1310: E[0:00:12]-R[0:07:31]: Return=-72.00, Steps=10, Features = 85
1387: E[0:00:13]-R[0:07:41]: Return=-57.00, Steps=10, Features = 86
1494: E[0:00:14]-R[0:07:41]: Return=-34.00, Steps=12, Features = 88
1603: E[0:00:15]-R[0:07:39]: Return=-72.00, Steps=10, Features = 88
1732: E[0:00:16]-R[0:07:34]: Return=-16.00, Steps=12, Features = 90
1889: E[0:00:17]-R[0:07:21]: Return=-45.00, Steps=15, Features = 92
2043: E[0:00:18]-R[0:07:12]: Return=-61.00, Steps=13, Features = 94
2215: E[0:00:20]-R[0:07:03]: Return=-115.00, Steps=52, Features = 95
2385: E[0:00:21]-R[0:06:54]: Return=-112.00, Steps=76, Features = 98
2554: E[0:00:22]-R[0:06:46]: Return=-81.00, Steps=31, Features = 99
2747: E[0:00:23]-R[0:06:38]: Return=-60.00, Steps=54, Features = 100
2912: E[0:00:24]-R[0:06:32]: Return=-85.00, Steps=32, Features = 100
3002: E[0:00:25]-R[0:06:36]: Return=-56.00, Steps=11, Features = 100
3132: E[0:00:26]-R[0:06:34]: Return=-34.00, Steps=10, Features = 102
3282: E[0:00:27]-R[0:06:31]: Return=-58.00, Steps=22, Features = 102
3455: E[0:00:29]-R[0:06:25]: Return=-127.00, Steps=44, Features = 102
3609: E[0:00:30]-R[0:06:21]: Return=-92.00, Steps=28, Features = 104
3768: E[0:00:31]-R[0:06:17]: Return=-36.00, Steps=10, Features = 105
3879: E[0:00:32]-R[0:06:17]: Return=-69.00, Steps=21, Features = 106
4038: E[0:00:33]-R[0:06:13]: Return=-70.00, Steps=12, Features = 108
4150: E[0:00:34]-R[0:06:14]: Return=-10.00, Steps=10, Features = 108
4335: E[0:00:35]-R[0:06:10]: Return=-49.00, Steps=67, Features = 110
4457: E[0:00:36]-R[0:06:10]: Return=-65.00, Steps=24, Features = 111
4594: E[0:00:37]-R[0:06:09]: Return=-65.00, Steps=11, Features = 111
4746: E[0:00:38]-R[0:06:06]: Return=-76.00, Steps=11, Features = 111
4888: E[0:00:39]-R[0:06:04]: Return=-82.00, Steps=17, Features = 112
4991: E[0:00:41]-R[0:06:05]: Return=-22.00, Steps=15, Features = 112
