============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	75.000
Batch Threshold:		75.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-75/4-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
136: E[0:00:01]-R[0:06:19]: Return=-85.00, Steps=16, Features = 61
266: E[0:00:02]-R[0:06:59]: Return=-71.00, Steps=26, Features = 65
370: E[0:00:03]-R[0:07:26]: Return=-94.00, Steps=25, Features = 71
504: E[0:00:04]-R[0:07:07]: Return=-72.00, Steps=10, Features = 77
644: E[0:00:05]-R[0:06:54]: Return=-73.00, Steps=10, Features = 80
742: E[0:00:06]-R[0:07:08]: Return=-74.00, Steps=10, Features = 81
828: E[0:00:08]-R[0:07:28]: Return=-123.00, Steps=41, Features = 81
919: E[0:00:09]-R[0:07:43]: Return=-112.00, Steps=33, Features = 82
1081: E[0:00:10]-R[0:07:20]: Return=-60.00, Steps=13, Features = 82
1202: E[0:00:11]-R[0:07:16]: Return=-69.00, Steps=11, Features = 84
1353: E[0:00:12]-R[0:07:02]: Return=-80.00, Steps=14, Features = 93
1495: E[0:00:13]-R[0:06:55]: Return=-122.00, Steps=59, Features = 93
1617: E[0:00:14]-R[0:06:56]: Return=-48.00, Steps=12, Features = 93
1718: E[0:00:15]-R[0:07:00]: Return=-121.00, Steps=45, Features = 93
1860: E[0:00:16]-R[0:06:58]: Return=-108.00, Steps=36, Features = 93
2009: E[0:00:18]-R[0:07:00]: Return=-143.00, Steps=47, Features = 95
2119: E[0:00:19]-R[0:07:01]: Return=-57.00, Steps=13, Features = 97
2257: E[0:00:20]-R[0:06:57]: Return=-33.00, Steps=22, Features = 100
2354: E[0:00:21]-R[0:07:00]: Return=-53.00, Steps=10, Features = 100
2467: E[0:00:22]-R[0:07:00]: Return=-15.00, Steps=12, Features = 101
2596: E[0:00:23]-R[0:07:01]: Return=-90.00, Steps=20, Features = 103
2695: E[0:00:24]-R[0:07:02]: Return=-81.00, Steps=25, Features = 106
2811: E[0:00:25]-R[0:07:02]: Return=-56.00, Steps=22, Features = 107
2923: E[0:00:26]-R[0:07:02]: Return=-86.00, Steps=19, Features = 107
3015: E[0:00:27]-R[0:07:05]: Return=-37.00, Steps=12, Features = 109
3118: E[0:00:28]-R[0:07:06]: Return=-81.00, Steps=13, Features = 110
3219: E[0:00:29]-R[0:07:07]: Return=-71.00, Steps=10, Features = 114
3310: E[0:00:30]-R[0:07:09]: Return=-68.00, Steps=10, Features = 116
3411: E[0:00:32]-R[0:07:15]: Return=-73.00, Steps=43, Features = 117
3487: E[0:00:33]-R[0:07:18]: Return=-83.00, Steps=46, Features = 117
3619: E[0:00:34]-R[0:07:19]: Return=-133.00, Steps=69, Features = 118
3742: E[0:00:35]-R[0:07:16]: Return=-53.00, Steps=10, Features = 119
3879: E[0:00:36]-R[0:07:13]: Return=-84.00, Steps=27, Features = 119
3990: E[0:00:37]-R[0:07:12]: Return=-40.00, Steps=15, Features = 120
