============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	75.000
Batch Threshold:		75.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-75/1-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
144: E[0:00:01]-R[0:06:08]: Return=-70.00, Steps=10, Features = 55
306: E[0:00:02]-R[0:05:53]: Return=-76.00, Steps=10, Features = 64
426: E[0:00:03]-R[0:06:15]: Return=-59.00, Steps=12, Features = 73
557: E[0:00:04]-R[0:06:15]: Return=-71.00, Steps=12, Features = 73
681: E[0:00:05]-R[0:06:21]: Return=-66.00, Steps=16, Features = 75
799: E[0:00:06]-R[0:06:30]: Return=-47.00, Steps=10, Features = 77
923: E[0:00:07]-R[0:06:30]: Return=-51.00, Steps=10, Features = 77
1085: E[0:00:08]-R[0:06:19]: Return=-81.00, Steps=13, Features = 84
1177: E[0:00:10]-R[0:06:36]: Return=-74.00, Steps=22, Features = 84
1301: E[0:00:11]-R[0:06:37]: Return=-60.00, Steps=13, Features = 84
1411: E[0:00:12]-R[0:06:40]: Return=-72.00, Steps=10, Features = 86
1542: E[0:00:13]-R[0:06:37]: Return=-76.00, Steps=11, Features = 90
1661: E[0:00:14]-R[0:06:37]: Return=18.00, Steps=13, Features = 94
1799: E[0:00:15]-R[0:06:33]: Return=-50.00, Steps=10, Features = 95
1912: E[0:00:16]-R[0:06:34]: Return=-53.00, Steps=11, Features = 97
2025: E[0:00:17]-R[0:06:35]: Return=-55.00, Steps=10, Features = 99
2122: E[0:00:18]-R[0:06:40]: Return=-97.00, Steps=82, Features = 100
2240: E[0:00:19]-R[0:06:46]: Return=-105.00, Steps=30, Features = 101
2385: E[0:00:20]-R[0:06:40]: Return=-94.00, Steps=26, Features = 102
2498: E[0:00:21]-R[0:06:42]: Return=-74.00, Steps=11, Features = 103
2600: E[0:00:22]-R[0:06:45]: Return=-52.00, Steps=12, Features = 104
2729: E[0:00:23]-R[0:06:44]: Return=-81.00, Steps=21, Features = 105
2895: E[0:00:24]-R[0:06:37]: Return=-66.00, Steps=15, Features = 106
3066: E[0:00:26]-R[0:06:31]: Return=-60.00, Steps=33, Features = 106
3221: E[0:00:27]-R[0:06:27]: Return=-41.00, Steps=18, Features = 106
3373: E[0:00:28]-R[0:06:23]: Return=-52.00, Steps=11, Features = 107
3476: E[0:00:29]-R[0:06:28]: Return=-44.00, Steps=23, Features = 109
3585: E[0:00:30]-R[0:06:28]: Return=-71.00, Steps=10, Features = 109
3714: E[0:00:31]-R[0:06:27]: Return=-17.00, Steps=14, Features = 109
3883: E[0:00:32]-R[0:06:22]: Return=-128.00, Steps=47, Features = 110
4024: E[0:00:33]-R[0:06:22]: Return=-14.00, Steps=41, Features = 112
4171: E[0:00:34]-R[0:06:19]: Return=-70.00, Steps=21, Features = 112
4326: E[0:00:35]-R[0:06:15]: Return=-75.00, Steps=24, Features = 112
4469: E[0:00:37]-R[0:06:18]: Return=-203.00, Steps=87, Features = 112
4589: E[0:00:38]-R[0:06:18]: Return=-88.00, Steps=17, Features = 113
4716: E[0:00:39]-R[0:06:17]: Return=-65.00, Steps=34, Features = 113
4877: E[0:00:40]-R[0:06:13]: Return=-75.00, Steps=11, Features = 114
5037: E[0:00:41]-R[0:06:10]: Return=-49.00, Steps=13, Features = 114
5207: E[0:00:43]-R[0:06:06]: Return=-78.00, Steps=35, Features = 115
5363: E[0:00:44]-R[0:06:03]: Return=-15.00, Steps=13, Features = 116
5516: E[0:00:45]-R[0:06:00]: Return=-19.00, Steps=13, Features = 117
5671: E[0:00:46]-R[0:05:57]: Return=-34.00, Steps=11, Features = 118
5777: E[0:00:47]-R[0:05:57]: Return=-74.00, Steps=11, Features = 118
5899: E[0:00:48]-R[0:05:59]: Return=-104.00, Steps=24, Features = 120
6051: E[0:00:49]-R[0:05:56]: Return=-96.00, Steps=22, Features = 121
6201: E[0:00:50]-R[0:05:55]: Return=-108.00, Steps=44, Features = 121
6338: E[0:00:52]-R[0:05:57]: Return=-86.00, Steps=50, Features = 121
6435: E[0:00:53]-R[0:05:58]: Return=-195.00, Steps=97, Features = 123
6586: E[0:00:54]-R[0:05:56]: Return=-69.00, Steps=29, Features = 123
6718: E[0:00:55]-R[0:05:54]: Return=-92.00, Steps=47, Features = 123
6839: E[0:00:56]-R[0:05:54]: Return=-19.00, Steps=11, Features = 124
6964: E[0:00:57]-R[0:05:54]: Return=-80.00, Steps=15, Features = 125
7061: E[0:00:58]-R[0:05:54]: Return=-71.00, Steps=10, Features = 125
7167: E[0:00:59]-R[0:05:55]: Return=-84.00, Steps=15, Features = 127
7281: E[0:01:01]-R[0:05:55]: Return=-89.00, Steps=45, Features = 127
7374: E[0:01:02]-R[0:05:56]: Return=-65.00, Steps=11, Features = 128
7518: E[0:01:03]-R[0:05:54]: Return=-26.00, Steps=21, Features = 129
7671: E[0:01:04]-R[0:05:52]: Return=-53.00, Steps=18, Features = 129
7805: E[0:01:06]-R[0:05:54]: Return=-138.00, Steps=53, Features = 129
7918: E[0:01:07]-R[0:05:54]: Return=-92.00, Steps=39, Features = 129
8019: E[0:01:08]-R[0:05:55]: Return=-177.00, Steps=66, Features = 129
8119: E[0:01:09]-R[0:05:55]: Return=-51.00, Steps=11, Features = 129
8216: E[0:01:10]-R[0:05:55]: Return=-61.00, Steps=13, Features = 129
8365: E[0:01:11]-R[0:05:53]: Return=-115.00, Steps=34, Features = 129
8486: E[0:01:12]-R[0:05:52]: Return=-65.00, Steps=18, Features = 130
8580: E[0:01:13]-R[0:05:53]: Return=-101.00, Steps=40, Features = 130
8709: E[0:01:14]-R[0:05:52]: Return=-80.00, Steps=22, Features = 130
8910: E[0:01:16]-R[0:05:49]: Return=-129.00, Steps=69, Features = 130
9058: E[0:01:17]-R[0:05:47]: Return=-82.00, Steps=15, Features = 130
9172: E[0:01:18]-R[0:05:46]: Return=-73.00, Steps=14, Features = 130
9284: E[0:01:19]-R[0:05:46]: Return=-73.00, Steps=22, Features = 131
