============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	45.000
Batch Threshold:		45.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-45/3-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
126: E[0:00:01]-R[0:07:30]: Return=-91.00, Steps=20, Features = 111
200: E[0:00:02]-R[0:09:02]: Return=-39.00, Steps=10, Features = 134
336: E[0:00:03]-R[0:08:11]: Return=-83.00, Steps=27, Features = 192
419: E[0:00:04]-R[0:08:38]: Return=-57.00, Steps=12, Features = 246
503: E[0:00:05]-R[0:08:50]: Return=-54.00, Steps=10, Features = 295
618: E[0:00:06]-R[0:08:34]: Return=-72.00, Steps=10, Features = 332
682: E[0:00:07]-R[0:08:58]: Return=-14.00, Steps=10, Features = 343
794: E[0:00:08]-R[0:08:46]: Return=-71.00, Steps=11, Features = 374
894: E[0:00:09]-R[0:08:41]: Return=-53.00, Steps=11, Features = 396
1020: E[0:00:10]-R[0:08:24]: Return=-80.00, Steps=16, Features = 419
1149: E[0:00:12]-R[0:08:11]: Return=-79.00, Steps=14, Features = 445
1235: E[0:00:13]-R[0:08:19]: Return=-53.00, Steps=10, Features = 463
1340: E[0:00:14]-R[0:08:24]: Return=-59.00, Steps=27, Features = 463
1464: E[0:00:15]-R[0:08:14]: Return=-14.00, Steps=10, Features = 472
1561: E[0:00:16]-R[0:08:17]: Return=-54.00, Steps=12, Features = 489
1640: E[0:00:17]-R[0:08:24]: Return=-22.00, Steps=23, Features = 497
1740: E[0:00:18]-R[0:08:24]: Return=-50.00, Steps=10, Features = 509
1848: E[0:00:19]-R[0:08:21]: Return=-76.00, Steps=10, Features = 526
1975: E[0:00:20]-R[0:08:13]: Return=-78.00, Steps=14, Features = 539
2101: E[0:00:21]-R[0:08:07]: Return=-57.00, Steps=10, Features = 557
2228: E[0:00:22]-R[0:08:01]: Return=-53.00, Steps=10, Features = 563
2348: E[0:00:23]-R[0:07:56]: Return=24.00, Steps=10, Features = 578
2444: E[0:00:25]-R[0:07:58]: Return=-68.00, Steps=10, Features = 592
2531: E[0:00:26]-R[0:07:59]: Return=-34.00, Steps=11, Features = 602
2649: E[0:00:27]-R[0:07:55]: Return=-103.00, Steps=26, Features = 613
2743: E[0:00:28]-R[0:07:56]: Return=-54.00, Steps=32, Features = 619
2854: E[0:00:29]-R[0:07:55]: Return=-67.00, Steps=16, Features = 637
2925: E[0:00:30]-R[0:08:02]: Return=-78.00, Steps=14, Features = 648
3027: E[0:00:31]-R[0:08:01]: Return=-77.00, Steps=12, Features = 649
3120: E[0:00:32]-R[0:08:02]: Return=-77.00, Steps=12, Features = 655
3208: E[0:00:33]-R[0:08:04]: Return=-87.00, Steps=23, Features = 657
3308: E[0:00:34]-R[0:08:04]: Return=0.00, Steps=10, Features = 663
3424: E[0:00:35]-R[0:08:00]: Return=-59.00, Steps=10, Features = 680
3521: E[0:00:36]-R[0:08:00]: Return=-72.00, Steps=11, Features = 685
3633: E[0:00:37]-R[0:07:57]: Return=-62.00, Steps=12, Features = 689
3729: E[0:00:38]-R[0:07:56]: Return=1.00, Steps=10, Features = 700
3821: E[0:00:40]-R[0:07:58]: Return=-62.00, Steps=24, Features = 708
3885: E[0:00:41]-R[0:08:01]: Return=-77.00, Steps=21, Features = 708
3943: E[0:00:42]-R[0:08:06]: Return=-55.00, Steps=11, Features = 709
4016: E[0:00:43]-R[0:08:08]: Return=-73.00, Steps=10, Features = 716
4126: E[0:00:44]-R[0:08:06]: Return=-106.00, Steps=31, Features = 729
4239: E[0:00:45]-R[0:08:06]: Return=17.00, Steps=15, Features = 739
4323: E[0:00:46]-R[0:08:08]: Return=-41.00, Steps=29, Features = 746
4397: E[0:00:47]-R[0:08:12]: Return=-81.00, Steps=22, Features = 752
4483: E[0:00:48]-R[0:08:12]: Return=-31.00, Steps=10, Features = 758
4590: E[0:00:50]-R[0:08:18]: Return=-145.00, Steps=65, Features = 764
4642: E[0:00:51]-R[0:08:22]: Return=-45.00, Steps=52, Features = 765
4737: E[0:00:53]-R[0:08:23]: Return=-91.00, Steps=32, Features = 768
4843: E[0:00:54]-R[0:08:21]: Return=-9.00, Steps=11, Features = 776
4936: E[0:00:55]-R[0:08:20]: Return=-16.00, Steps=10, Features = 779
5042: E[0:00:56]-R[0:08:18]: Return=-73.00, Steps=10, Features = 798
5125: E[0:00:57]-R[0:08:18]: Return=-38.00, Steps=11, Features = 811
5207: E[0:00:58]-R[0:08:18]: Return=-71.00, Steps=10, Features = 818
5303: E[0:00:59]-R[0:08:16]: Return=-55.00, Steps=10, Features = 833
5421: E[0:01:00]-R[0:08:14]: Return=7.00, Steps=22, Features = 845
5501: E[0:01:01]-R[0:08:14]: Return=42.00, Steps=10, Features = 877
5564: E[0:01:02]-R[0:08:18]: Return=-87.00, Steps=17, Features = 884
5618: E[0:01:03]-R[0:08:21]: Return=-77.00, Steps=18, Features = 886
5723: E[0:01:05]-R[0:08:19]: Return=-61.00, Steps=23, Features = 897
5827: E[0:01:06]-R[0:08:17]: Return=-47.00, Steps=50, Features = 902
5928: E[0:01:07]-R[0:08:15]: Return=-20.00, Steps=11, Features = 912
5991: E[0:01:08]-R[0:08:17]: Return=-68.00, Steps=17, Features = 912
6092: E[0:01:09]-R[0:08:15]: Return=62.00, Steps=10, Features = 919
6150: E[0:01:10]-R[0:08:18]: Return=15.00, Steps=17, Features = 921
6230: E[0:01:11]-R[0:08:21]: Return=-101.00, Steps=80, Features = 922
6330: E[0:01:12]-R[0:08:19]: Return=-36.00, Steps=10, Features = 924
6421: E[0:01:14]-R[0:08:21]: Return=-109.00, Steps=26, Features = 933
6519: E[0:01:15]-R[0:08:20]: Return=-72.00, Steps=10, Features = 937
6609: E[0:01:16]-R[0:08:19]: Return=-76.00, Steps=24, Features = 945
6676: E[0:01:17]-R[0:08:20]: Return=-33.00, Steps=10, Features = 955
6772: E[0:01:18]-R[0:08:19]: Return=-52.00, Steps=10, Features = 959
6826: E[0:01:19]-R[0:08:20]: Return=-76.00, Steps=14, Features = 960
6936: E[0:01:20]-R[0:08:18]: Return=-36.00, Steps=12, Features = 966
7006: E[0:01:22]-R[0:08:20]: Return=-62.00, Steps=38, Features = 967
7072: E[0:01:23]-R[0:08:23]: Return=-53.00, Steps=43, Features = 974
7217: E[0:01:24]-R[0:08:20]: Return=-100.00, Steps=77, Features = 987
7305: E[0:01:25]-R[0:08:19]: Return=-77.00, Steps=14, Features = 992
7400: E[0:01:27]-R[0:08:18]: Return=-77.00, Steps=15, Features = 998
7498: E[0:01:28]-R[0:08:16]: Return=-77.00, Steps=13, Features = 1010
7624: E[0:01:29]-R[0:08:15]: Return=-85.00, Steps=34, Features = 1018
7723: E[0:01:30]-R[0:08:13]: Return=-76.00, Steps=10, Features = 1022
7847: E[0:01:31]-R[0:08:11]: Return=-58.00, Steps=31, Features = 1035
7960: E[0:01:33]-R[0:08:09]: Return=-22.00, Steps=15, Features = 1043
8068: E[0:01:34]-R[0:08:06]: Return=48.00, Steps=10, Features = 1044
8172: E[0:01:35]-R[0:08:05]: Return=-75.00, Steps=15, Features = 1051
8274: E[0:01:36]-R[0:08:03]: Return=-81.00, Steps=18, Features = 1067
8370: E[0:01:37]-R[0:08:01]: Return=-53.00, Steps=10, Features = 1067
8440: E[0:01:38]-R[0:08:03]: Return=-55.00, Steps=16, Features = 1071
8528: E[0:01:39]-R[0:08:02]: Return=68.00, Steps=10, Features = 1078
8597: E[0:01:40]-R[0:08:03]: Return=23.00, Steps=10, Features = 1087
8668: E[0:01:41]-R[0:08:03]: Return=49.00, Steps=10, Features = 1093
8734: E[0:01:42]-R[0:08:04]: Return=-66.00, Steps=15, Features = 1100
8782: E[0:01:44]-R[0:08:06]: Return=-54.00, Steps=10, Features = 1101
8860: E[0:01:45]-R[0:08:07]: Return=-61.00, Steps=14, Features = 1116
8958: E[0:01:46]-R[0:08:06]: Return=-68.00, Steps=17, Features = 1126
9008: E[0:01:47]-R[0:08:07]: Return=-108.00, Steps=24, Features = 1131
9087: E[0:01:48]-R[0:08:07]: Return=-67.00, Steps=26, Features = 1146
9189: E[0:01:49]-R[0:08:05]: Return=-82.00, Steps=46, Features = 1154
9265: E[0:01:50]-R[0:08:06]: Return=-19.00, Steps=10, Features = 1159
9318: E[0:01:52]-R[0:08:08]: Return=-33.00, Steps=10, Features = 1164
9408: E[0:01:53]-R[0:08:07]: Return=-76.00, Steps=12, Features = 1178
9503: E[0:01:54]-R[0:08:05]: Return=-39.00, Steps=12, Features = 1188
9614: E[0:01:55]-R[0:08:04]: Return=-62.00, Steps=25, Features = 1192
9683: E[0:01:56]-R[0:08:05]: Return=-79.00, Steps=11, Features = 1201
