============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	45.000
Batch Threshold:		45.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-45/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
149: E[0:00:01]-R[0:05:47]: Return=-89.00, Steps=44, Features = 117
271: E[0:00:02]-R[0:06:16]: Return=-67.00, Steps=16, Features = 202
392: E[0:00:03]-R[0:06:40]: Return=-37.00, Steps=11, Features = 215
569: E[0:00:05]-R[0:06:58]: Return=-176.00, Steps=119, Features = 245
712: E[0:00:06]-R[0:06:45]: Return=-71.00, Steps=10, Features = 271
862: E[0:00:07]-R[0:06:35]: Return=-72.00, Steps=20, Features = 298
994: E[0:00:08]-R[0:06:44]: Return=-48.00, Steps=38, Features = 315
1111: E[0:00:09]-R[0:06:49]: Return=1.00, Steps=12, Features = 349
1211: E[0:00:10]-R[0:06:58]: Return=26.00, Steps=10, Features = 365
1329: E[0:00:12]-R[0:07:04]: Return=-59.00, Steps=50, Features = 380
1463: E[0:00:13]-R[0:06:58]: Return=-55.00, Steps=21, Features = 407
1592: E[0:00:14]-R[0:06:54]: Return=-36.00, Steps=10, Features = 426
1736: E[0:00:15]-R[0:06:50]: Return=20.00, Steps=27, Features = 441
1844: E[0:00:16]-R[0:06:53]: Return=-69.00, Steps=31, Features = 461
1973: E[0:00:17]-R[0:06:51]: Return=6.00, Steps=11, Features = 478
2070: E[0:00:18]-R[0:06:55]: Return=-29.00, Steps=30, Features = 488
