============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	22.000
Batch Threshold:		22.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-22/3-results.txt
Learning Steps:		50000
Performance Checks:	1
Log Intervals:		1(s)
211: E[0:00:01]-R[0:05:40]: Return=-132.00, Steps=108, Features = 208
318: E[0:00:03]-R[0:07:49]: Return=-173.00, Steps=64, Features = 287
409: E[0:00:04]-R[0:08:16]: Return=-69.00, Steps=13, Features = 329
514: E[0:00:06]-R[0:08:59]: Return=-82.00, Steps=37, Features = 345
623: E[0:00:07]-R[0:08:54]: Return=-99.00, Steps=29, Features = 390
727: E[0:00:08]-R[0:08:58]: Return=-41.00, Steps=15, Features = 460
844: E[0:00:09]-R[0:08:57]: Return=-111.00, Steps=31, Features = 492
917: E[0:00:10]-R[0:09:09]: Return=-55.00, Steps=12, Features = 519
1036: E[0:00:11]-R[0:08:53]: Return=-45.00, Steps=16, Features = 593
1114: E[0:00:12]-R[0:08:59]: Return=-82.00, Steps=16, Features = 641
1219: E[0:00:13]-R[0:08:54]: Return=-83.00, Steps=15, Features = 681
1324: E[0:00:15]-R[0:08:59]: Return=-65.00, Steps=24, Features = 724
1406: E[0:00:16]-R[0:09:09]: Return=-78.00, Steps=13, Features = 754
1496: E[0:00:17]-R[0:09:12]: Return=-49.00, Steps=19, Features = 789
1608: E[0:00:18]-R[0:09:13]: Return=-58.00, Steps=14, Features = 836
1682: E[0:00:19]-R[0:09:17]: Return=-38.00, Steps=12, Features = 873
1771: E[0:00:21]-R[0:09:19]: Return=-77.00, Steps=25, Features = 898
1877: E[0:00:22]-R[0:09:21]: Return=-53.00, Steps=29, Features = 924
1958: E[0:00:23]-R[0:09:22]: Return=-71.00, Steps=22, Features = 958
2053: E[0:00:24]-R[0:09:19]: Return=-83.00, Steps=34, Features = 1005
2121: E[0:00:25]-R[0:09:24]: Return=2.00, Steps=12, Features = 1041
2191: E[0:00:26]-R[0:09:29]: Return=-73.00, Steps=14, Features = 1062
2291: E[0:00:27]-R[0:09:26]: Return=-90.00, Steps=19, Features = 1106
2346: E[0:00:28]-R[0:09:33]: Return=-73.00, Steps=12, Features = 1141
2445: E[0:00:30]-R[0:09:38]: Return=-109.00, Steps=36, Features = 1168
2510: E[0:00:31]-R[0:09:42]: Return=-57.00, Steps=12, Features = 1184
2598: E[0:00:32]-R[0:09:42]: Return=-60.00, Steps=22, Features = 1209
2696: E[0:00:33]-R[0:09:38]: Return=-74.00, Steps=20, Features = 1235
2789: E[0:00:34]-R[0:09:36]: Return=-77.00, Steps=14, Features = 1254
2896: E[0:00:35]-R[0:09:35]: Return=-134.00, Steps=80, Features = 1270
2957: E[0:00:36]-R[0:09:39]: Return=-80.00, Steps=17, Features = 1292
3047: E[0:00:37]-R[0:09:38]: Return=-78.00, Steps=27, Features = 1299
3134: E[0:00:39]-R[0:09:37]: Return=-77.00, Steps=12, Features = 1331
3220: E[0:00:40]-R[0:09:38]: Return=-78.00, Steps=40, Features = 1356
3276: E[0:00:41]-R[0:09:43]: Return=-53.00, Steps=12, Features = 1368
3353: E[0:00:42]-R[0:09:44]: Return=-75.00, Steps=13, Features = 1406
3430: E[0:00:43]-R[0:09:45]: Return=-77.00, Steps=35, Features = 1420
3514: E[0:00:44]-R[0:09:47]: Return=-46.00, Steps=31, Features = 1436
3601: E[0:00:46]-R[0:09:53]: Return=-83.00, Steps=44, Features = 1440
3667: E[0:00:47]-R[0:09:57]: Return=-97.00, Steps=22, Features = 1461
3766: E[0:00:49]-R[0:09:57]: Return=-69.00, Steps=21, Features = 1491
3839: E[0:00:50]-R[0:10:01]: Return=-110.00, Steps=52, Features = 1501
3918: E[0:00:51]-R[0:10:03]: Return=-100.00, Steps=24, Features = 1520
3992: E[0:00:53]-R[0:10:07]: Return=-84.00, Steps=25, Features = 1528
4054: E[0:00:54]-R[0:10:11]: Return=-87.00, Steps=18, Features = 1536
4133: E[0:00:55]-R[0:10:11]: Return=-73.00, Steps=10, Features = 1556
4191: E[0:00:56]-R[0:10:13]: Return=-54.00, Steps=10, Features = 1576
4259: E[0:00:57]-R[0:10:14]: Return=-65.00, Steps=10, Features = 1591
4340: E[0:00:58]-R[0:10:14]: Return=-147.00, Steps=56, Features = 1607
4433: E[0:00:59]-R[0:10:11]: Return=-74.00, Steps=25, Features = 1642
4509: E[0:01:01]-R[0:10:12]: Return=-62.00, Steps=17, Features = 1661
4592: E[0:01:02]-R[0:10:10]: Return=-76.00, Steps=12, Features = 1685
4681: E[0:01:03]-R[0:10:10]: Return=-109.00, Steps=27, Features = 1701
4749: E[0:01:04]-R[0:10:11]: Return=-87.00, Steps=19, Features = 1725
4842: E[0:01:05]-R[0:10:09]: Return=-112.00, Steps=37, Features = 1743
4914: E[0:01:07]-R[0:10:10]: Return=-77.00, Steps=13, Features = 1776
4997: E[0:01:08]-R[0:10:10]: Return=15.00, Steps=22, Features = 1788
5076: E[0:01:09]-R[0:10:10]: Return=-61.00, Steps=12, Features = 1817
5141: E[0:01:10]-R[0:10:11]: Return=-75.00, Steps=11, Features = 1836
5213: E[0:01:11]-R[0:10:10]: Return=-65.00, Steps=16, Features = 1863
5261: E[0:01:12]-R[0:10:15]: Return=-49.00, Steps=10, Features = 1878
5333: E[0:01:13]-R[0:10:15]: Return=-20.00, Steps=12, Features = 1894
5391: E[0:01:14]-R[0:10:16]: Return=-84.00, Steps=22, Features = 1899
5491: E[0:01:16]-R[0:10:16]: Return=-67.00, Steps=37, Features = 1937
5558: E[0:01:17]-R[0:10:16]: Return=-73.00, Steps=11, Features = 1960
5621: E[0:01:18]-R[0:10:17]: Return=-75.00, Steps=11, Features = 1979
5700: E[0:01:19]-R[0:10:17]: Return=-93.00, Steps=21, Features = 2010
5738: E[0:01:20]-R[0:10:21]: Return=-52.00, Steps=11, Features = 2026
5804: E[0:01:22]-R[0:10:21]: Return=-37.00, Steps=13, Features = 2048
5896: E[0:01:23]-R[0:10:21]: Return=-69.00, Steps=19, Features = 2074
5976: E[0:01:25]-R[0:10:24]: Return=-59.00, Steps=24, Features = 2091
6024: E[0:01:26]-R[0:10:26]: Return=-78.00, Steps=12, Features = 2101
6080: E[0:01:27]-R[0:10:28]: Return=-86.00, Steps=21, Features = 2124
6175: E[0:01:29]-R[0:10:28]: Return=-71.00, Steps=65, Features = 2148
6228: E[0:01:30]-R[0:10:30]: Return=-51.00, Steps=14, Features = 2165
6304: E[0:01:31]-R[0:10:32]: Return=-49.00, Steps=30, Features = 2184
6370: E[0:01:33]-R[0:10:34]: Return=-119.00, Steps=35, Features = 2194
6431: E[0:01:34]-R[0:10:35]: Return=-22.00, Steps=14, Features = 2221
6501: E[0:01:35]-R[0:10:34]: Return=-79.00, Steps=13, Features = 2243
