============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	22.000
Batch Threshold:		22.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-22/5-results.txt
Learning Steps:		50000
Performance Checks:	1
Log Intervals:		1(s)
131: E[0:00:02]-R[0:10:34]: Return=-179.00, Steps=131, Features = 58
235: E[0:00:03]-R[0:09:40]: Return=-103.00, Steps=26, Features = 150
361: E[0:00:04]-R[0:08:47]: Return=-86.00, Steps=19, Features = 247
459: E[0:00:05]-R[0:08:57]: Return=22.00, Steps=10, Features = 341
550: E[0:00:06]-R[0:09:07]: Return=-77.00, Steps=10, Features = 433
661: E[0:00:07]-R[0:09:15]: Return=-118.00, Steps=30, Features = 487
760: E[0:00:09]-R[0:09:12]: Return=-75.00, Steps=12, Features = 565
838: E[0:00:10]-R[0:09:19]: Return=-73.00, Steps=10, Features = 616
923: E[0:00:11]-R[0:09:30]: Return=-59.00, Steps=11, Features = 690
1008: E[0:00:12]-R[0:09:34]: Return=4.00, Steps=10, Features = 767
1083: E[0:00:13]-R[0:09:41]: Return=-60.00, Steps=22, Features = 815
1166: E[0:00:14]-R[0:09:43]: Return=-19.00, Steps=10, Features = 878
1261: E[0:00:15]-R[0:09:43]: Return=-50.00, Steps=10, Features = 943
1311: E[0:00:16]-R[0:10:00]: Return=-12.00, Steps=10, Features = 975
1387: E[0:00:17]-R[0:10:03]: Return=-34.00, Steps=10, Features = 1029
1500: E[0:00:19]-R[0:10:03]: Return=-51.00, Steps=19, Features = 1072
1553: E[0:00:20]-R[0:10:14]: Return=6.00, Steps=10, Features = 1099
1607: E[0:00:21]-R[0:10:26]: Return=-33.00, Steps=10, Features = 1137
1681: E[0:00:22]-R[0:10:32]: Return=63.00, Steps=10, Features = 1202
1736: E[0:00:23]-R[0:10:45]: Return=-86.00, Steps=16, Features = 1218
1793: E[0:00:24]-R[0:10:56]: Return=-7.00, Steps=16, Features = 1262
1878: E[0:00:25]-R[0:10:53]: Return=-17.00, Steps=11, Features = 1289
1970: E[0:00:27]-R[0:10:48]: Return=-85.00, Steps=16, Features = 1323
2060: E[0:00:28]-R[0:10:45]: Return=-36.00, Steps=11, Features = 1368
2147: E[0:00:29]-R[0:10:41]: Return=-46.00, Steps=19, Features = 1402
2234: E[0:00:30]-R[0:10:39]: Return=-63.00, Steps=21, Features = 1434
2316: E[0:00:31]-R[0:10:37]: Return=-59.00, Steps=12, Features = 1487
2391: E[0:00:32]-R[0:10:37]: Return=-72.00, Steps=11, Features = 1551
2452: E[0:00:33]-R[0:10:40]: Return=-50.00, Steps=15, Features = 1589
2492: E[0:00:34]-R[0:10:48]: Return=-15.00, Steps=10, Features = 1595
2556: E[0:00:35]-R[0:10:50]: Return=3.00, Steps=14, Features = 1631
2621: E[0:00:36]-R[0:10:52]: Return=63.00, Steps=10, Features = 1664
2695: E[0:00:37]-R[0:10:54]: Return=-19.00, Steps=10, Features = 1692
2757: E[0:00:38]-R[0:10:57]: Return=-75.00, Steps=11, Features = 1728
2823: E[0:00:39]-R[0:10:57]: Return=-34.00, Steps=12, Features = 1746
2909: E[0:00:40]-R[0:10:53]: Return=-69.00, Steps=12, Features = 1779
2961: E[0:00:42]-R[0:11:00]: Return=1.00, Steps=10, Features = 1813
3022: E[0:00:43]-R[0:11:03]: Return=43.00, Steps=10, Features = 1840
3095: E[0:00:44]-R[0:11:02]: Return=-51.00, Steps=10, Features = 1889
3178: E[0:00:45]-R[0:11:00]: Return=-38.00, Steps=10, Features = 1922
3259: E[0:00:46]-R[0:10:58]: Return=-37.00, Steps=11, Features = 1958
3338: E[0:00:47]-R[0:10:58]: Return=-16.00, Steps=13, Features = 1997
3396: E[0:00:48]-R[0:10:59]: Return=-33.00, Steps=10, Features = 2012
3464: E[0:00:49]-R[0:10:59]: Return=-38.00, Steps=11, Features = 2043
3541: E[0:00:50]-R[0:10:58]: Return=-12.00, Steps=10, Features = 2063
3614: E[0:00:51]-R[0:10:58]: Return=-22.00, Steps=41, Features = 2091
3661: E[0:00:52]-R[0:11:02]: Return=-72.00, Steps=10, Features = 2102
3706: E[0:00:53]-R[0:11:07]: Return=-35.00, Steps=11, Features = 2128
3759: E[0:00:54]-R[0:11:09]: Return=-35.00, Steps=10, Features = 2139
3834: E[0:00:55]-R[0:11:08]: Return=-65.00, Steps=20, Features = 2172
3901: E[0:00:57]-R[0:11:09]: Return=-20.00, Steps=14, Features = 2205
3968: E[0:00:58]-R[0:11:10]: Return=-43.00, Steps=16, Features = 2233
4023: E[0:00:59]-R[0:11:13]: Return=7.00, Steps=10, Features = 2270
4111: E[0:01:00]-R[0:11:11]: Return=-21.00, Steps=14, Features = 2298
4168: E[0:01:01]-R[0:11:13]: Return=-72.00, Steps=10, Features = 2335
4249: E[0:01:02]-R[0:11:12]: Return=-90.00, Steps=24, Features = 2352
4310: E[0:01:04]-R[0:11:14]: Return=37.00, Steps=16, Features = 2369
4391: E[0:01:05]-R[0:11:11]: Return=-111.00, Steps=41, Features = 2399
4460: E[0:01:06]-R[0:11:12]: Return=-36.00, Steps=29, Features = 2426
4525: E[0:01:07]-R[0:11:13]: Return=-80.00, Steps=12, Features = 2469
4585: E[0:01:08]-R[0:11:14]: Return=4.00, Steps=20, Features = 2484
4670: E[0:01:09]-R[0:11:11]: Return=-77.00, Steps=14, Features = 2502
4749: E[0:01:10]-R[0:11:08]: Return=-15.00, Steps=12, Features = 2514
4830: E[0:01:11]-R[0:11:06]: Return=-77.00, Steps=20, Features = 2525
4888: E[0:01:12]-R[0:11:07]: Return=-19.00, Steps=11, Features = 2541
4960: E[0:01:14]-R[0:11:10]: Return=29.00, Steps=26, Features = 2568
5002: E[0:01:15]-R[0:11:14]: Return=77.00, Steps=13, Features = 2585
5055: E[0:01:16]-R[0:11:16]: Return=1.00, Steps=11, Features = 2604
5103: E[0:01:17]-R[0:11:18]: Return=-79.00, Steps=11, Features = 2613
5163: E[0:01:18]-R[0:11:20]: Return=23.00, Steps=11, Features = 2636
5222: E[0:01:20]-R[0:11:23]: Return=-68.00, Steps=24, Features = 2646
5294: E[0:01:21]-R[0:11:21]: Return=-38.00, Steps=14, Features = 2670
5357: E[0:01:22]-R[0:11:23]: Return=-54.00, Steps=11, Features = 2711
5425: E[0:01:23]-R[0:11:22]: Return=-64.00, Steps=17, Features = 2730
5485: E[0:01:24]-R[0:11:22]: Return=19.00, Steps=12, Features = 2764
5558: E[0:01:25]-R[0:11:20]: Return=-67.00, Steps=10, Features = 2795
5626: E[0:01:26]-R[0:11:19]: Return=-76.00, Steps=13, Features = 2823
5698: E[0:01:27]-R[0:11:20]: Return=-31.00, Steps=17, Features = 2841
5744: E[0:01:28]-R[0:11:21]: Return=-78.00, Steps=11, Features = 2853
5820: E[0:01:30]-R[0:11:20]: Return=-63.00, Steps=15, Features = 2875
5896: E[0:01:31]-R[0:11:19]: Return=-48.00, Steps=27, Features = 2910
5948: E[0:01:32]-R[0:11:20]: Return=-52.00, Steps=11, Features = 2962
6014: E[0:01:33]-R[0:11:20]: Return=-65.00, Steps=25, Features = 2983
6094: E[0:01:34]-R[0:11:18]: Return=-67.00, Steps=10, Features = 3001
6180: E[0:01:35]-R[0:11:16]: Return=-93.00, Steps=30, Features = 3016
6227: E[0:01:36]-R[0:11:18]: Return=-5.00, Steps=24, Features = 3032
6274: E[0:01:38]-R[0:11:20]: Return=-62.00, Steps=14, Features = 3046
6318: E[0:01:39]-R[0:11:22]: Return=-54.00, Steps=19, Features = 3061
6414: E[0:01:40]-R[0:11:22]: Return=-119.00, Steps=54, Features = 3079
6457: E[0:01:42]-R[0:11:25]: Return=-61.00, Steps=17, Features = 3086
6537: E[0:01:43]-R[0:11:22]: Return=-87.00, Steps=32, Features = 3100
6591: E[0:01:44]-R[0:11:23]: Return=-98.00, Steps=28, Features = 3114
6633: E[0:01:45]-R[0:11:25]: Return=-37.00, Steps=10, Features = 3129
6697: E[0:01:46]-R[0:11:24]: Return=-38.00, Steps=10, Features = 3151
6740: E[0:01:47]-R[0:11:26]: Return=-50.00, Steps=10, Features = 3171
6807: E[0:01:48]-R[0:11:26]: Return=-33.00, Steps=10, Features = 3191
6839: E[0:01:49]-R[0:11:29]: Return=-54.00, Steps=10, Features = 3202
6889: E[0:01:50]-R[0:11:30]: Return=-68.00, Steps=40, Features = 3216
6920: E[0:01:51]-R[0:11:33]: Return=64.00, Steps=10, Features = 3233
6961: E[0:01:52]-R[0:11:35]: Return=20.00, Steps=19, Features = 3246
7017: E[0:01:54]-R[0:11:36]: Return=21.00, Steps=10, Features = 3266
7068: E[0:01:55]-R[0:11:37]: Return=-90.00, Steps=19, Features = 3283
7147: E[0:01:57]-R[0:11:40]: Return=-89.00, Steps=49, Features = 3302
7183: E[0:01:58]-R[0:11:43]: Return=-42.00, Steps=24, Features = 3313
7248: E[0:01:59]-R[0:11:42]: Return=-62.00, Steps=14, Features = 3335
7310: E[0:02:00]-R[0:11:42]: Return=-32.00, Steps=10, Features = 3344
7347: E[0:02:01]-R[0:11:45]: Return=-40.00, Steps=13, Features = 3356
7376: E[0:02:03]-R[0:11:49]: Return=-77.00, Steps=12, Features = 3367
7426: E[0:02:04]-R[0:11:49]: Return=-72.00, Steps=13, Features = 3384
7466: E[0:02:05]-R[0:11:53]: Return=-25.00, Steps=20, Features = 3394
7530: E[0:02:06]-R[0:11:52]: Return=-78.00, Steps=28, Features = 3408
7594: E[0:02:07]-R[0:11:51]: Return=-72.00, Steps=10, Features = 3424
7636: E[0:02:08]-R[0:11:52]: Return=26.00, Steps=18, Features = 3437
7687: E[0:02:10]-R[0:11:53]: Return=-83.00, Steps=30, Features = 3447
7737: E[0:02:11]-R[0:11:53]: Return=-80.00, Steps=15, Features = 3462
7789: E[0:02:12]-R[0:11:54]: Return=-70.00, Steps=10, Features = 3478
7821: E[0:02:13]-R[0:11:56]: Return=-76.00, Steps=12, Features = 3491
7872: E[0:02:14]-R[0:11:58]: Return=-15.00, Steps=10, Features = 3513
7917: E[0:02:15]-R[0:11:59]: Return=-30.00, Steps=10, Features = 3530
7981: E[0:02:17]-R[0:11:59]: Return=-66.00, Steps=16, Features = 3539
8034: E[0:02:18]-R[0:11:59]: Return=-42.00, Steps=13, Features = 3571
8087: E[0:02:19]-R[0:12:00]: Return=-77.00, Steps=14, Features = 3582
8157: E[0:02:21]-R[0:12:06]: Return=-70.00, Steps=46, Features = 3594
8191: E[0:02:23]-R[0:12:09]: Return=-76.00, Steps=11, Features = 3599
8238: E[0:02:24]-R[0:12:12]: Return=-90.00, Steps=17, Features = 3615
8292: E[0:02:26]-R[0:12:14]: Return=-97.00, Steps=21, Features = 3629
8350: E[0:02:27]-R[0:12:13]: Return=-75.00, Steps=10, Features = 3654
8391: E[0:02:28]-R[0:12:14]: Return=-61.00, Steps=19, Features = 3667
8445: E[0:02:29]-R[0:12:14]: Return=-76.00, Steps=10, Features = 3682
8510: E[0:02:30]-R[0:12:12]: Return=-97.00, Steps=39, Features = 3694
8568: E[0:02:31]-R[0:12:12]: Return=-84.00, Steps=17, Features = 3711
8607: E[0:02:32]-R[0:12:13]: Return=21.00, Steps=10, Features = 3728
8658: E[0:02:34]-R[0:12:13]: Return=-72.00, Steps=10, Features = 3746
8717: E[0:02:35]-R[0:12:12]: Return=-55.00, Steps=10, Features = 3773
8781: E[0:02:36]-R[0:12:11]: Return=-54.00, Steps=10, Features = 3793
8842: E[0:02:37]-R[0:12:10]: Return=-101.00, Steps=36, Features = 3811
8891: E[0:02:38]-R[0:12:10]: Return=-39.00, Steps=16, Features = 3816
8941: E[0:02:39]-R[0:12:11]: Return=12.00, Steps=15, Features = 3839
8993: E[0:02:41]-R[0:12:12]: Return=-53.00, Steps=12, Features = 3853
9069: E[0:02:42]-R[0:12:11]: Return=-148.00, Steps=76, Features = 3857
