============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	22.000
Batch Threshold:		22.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-22/1-results.txt
Learning Steps:		50000
Performance Checks:	1
Log Intervals:		1(s)
154: E[0:00:01]-R[0:06:40]: Return=-111.00, Steps=37, Features = 217
282: E[0:00:02]-R[0:06:37]: Return=-73.00, Steps=10, Features = 319
397: E[0:00:03]-R[0:06:50]: Return=-78.00, Steps=13, Features = 377
529: E[0:00:04]-R[0:06:55]: Return=-48.00, Steps=39, Features = 442
626: E[0:00:05]-R[0:07:12]: Return=-68.00, Steps=27, Features = 488
736: E[0:00:07]-R[0:07:15]: Return=-62.00, Steps=15, Features = 548
807: E[0:00:08]-R[0:07:46]: Return=-74.00, Steps=19, Features = 620
901: E[0:00:09]-R[0:07:58]: Return=-68.00, Steps=18, Features = 679
990: E[0:00:10]-R[0:08:05]: Return=4.00, Steps=12, Features = 717
1060: E[0:00:11]-R[0:08:29]: Return=-73.00, Steps=19, Features = 742
1138: E[0:00:12]-R[0:08:46]: Return=-84.00, Steps=19, Features = 773
1209: E[0:00:14]-R[0:09:05]: Return=-59.00, Steps=44, Features = 793
1265: E[0:00:15]-R[0:09:24]: Return=-79.00, Steps=15, Features = 831
1357: E[0:00:16]-R[0:09:27]: Return=-154.00, Steps=92, Features = 860
1448: E[0:00:17]-R[0:09:31]: Return=-10.00, Steps=18, Features = 909
1501: E[0:00:18]-R[0:09:48]: Return=-98.00, Steps=21, Features = 923
1551: E[0:00:19]-R[0:10:04]: Return=-55.00, Steps=10, Features = 957
1622: E[0:00:20]-R[0:10:08]: Return=-54.00, Steps=10, Features = 998
1685: E[0:00:21]-R[0:10:16]: Return=-79.00, Steps=13, Features = 1030
1744: E[0:00:23]-R[0:10:23]: Return=-53.00, Steps=11, Features = 1055
1865: E[0:00:24]-R[0:10:13]: Return=-134.00, Steps=38, Features = 1109
1959: E[0:00:25]-R[0:10:10]: Return=-44.00, Steps=24, Features = 1137
2042: E[0:00:26]-R[0:10:10]: Return=-16.00, Steps=10, Features = 1176
2107: E[0:00:27]-R[0:10:17]: Return=-118.00, Steps=55, Features = 1182
2165: E[0:00:28]-R[0:10:26]: Return=-79.00, Steps=13, Features = 1218
2228: E[0:00:29]-R[0:10:29]: Return=-14.00, Steps=10, Features = 1257
2315: E[0:00:31]-R[0:10:29]: Return=-35.00, Steps=11, Features = 1297
2368: E[0:00:32]-R[0:10:40]: Return=-79.00, Steps=16, Features = 1326
2435: E[0:00:33]-R[0:10:45]: Return=-115.00, Steps=28, Features = 1339
2510: E[0:00:34]-R[0:10:45]: Return=-76.00, Steps=10, Features = 1377
2588: E[0:00:35]-R[0:10:43]: Return=-79.00, Steps=10, Features = 1407
2669: E[0:00:36]-R[0:10:42]: Return=-58.00, Steps=13, Features = 1441
2756: E[0:00:37]-R[0:10:39]: Return=-54.00, Steps=11, Features = 1478
2837: E[0:00:38]-R[0:10:37]: Return=-71.00, Steps=11, Features = 1523
2924: E[0:00:39]-R[0:10:34]: Return=-20.00, Steps=14, Features = 1566
3031: E[0:00:41]-R[0:10:31]: Return=-96.00, Steps=48, Features = 1579
3116: E[0:00:42]-R[0:10:29]: Return=-72.00, Steps=11, Features = 1612
3184: E[0:00:43]-R[0:10:34]: Return=-72.00, Steps=21, Features = 1639
3261: E[0:00:44]-R[0:10:34]: Return=1.00, Steps=10, Features = 1647
3356: E[0:00:46]-R[0:10:33]: Return=-70.00, Steps=20, Features = 1688
3428: E[0:00:47]-R[0:10:35]: Return=-17.00, Steps=14, Features = 1710
3505: E[0:00:48]-R[0:10:34]: Return=-77.00, Steps=10, Features = 1738
3585: E[0:00:49]-R[0:10:36]: Return=-60.00, Steps=20, Features = 1768
3663: E[0:00:50]-R[0:10:36]: Return=-87.00, Steps=24, Features = 1782
3720: E[0:00:51]-R[0:10:40]: Return=-40.00, Steps=13, Features = 1817
3788: E[0:00:53]-R[0:10:43]: Return=-51.00, Steps=19, Features = 1842
3852: E[0:00:54]-R[0:10:44]: Return=-87.00, Steps=18, Features = 1860
3886: E[0:00:55]-R[0:10:50]: Return=1.00, Steps=12, Features = 1871
3934: E[0:00:56]-R[0:10:55]: Return=-93.00, Steps=28, Features = 1881
3982: E[0:00:57]-R[0:11:00]: Return=-15.00, Steps=10, Features = 1907
4045: E[0:00:58]-R[0:11:01]: Return=-54.00, Steps=10, Features = 1933
4106: E[0:00:59]-R[0:11:02]: Return=5.00, Steps=10, Features = 1962
4154: E[0:01:01]-R[0:11:08]: Return=-68.00, Steps=30, Features = 1974
4200: E[0:01:02]-R[0:11:13]: Return=-95.00, Steps=31, Features = 1980
4262: E[0:01:03]-R[0:11:15]: Return=-53.00, Steps=10, Features = 2009
4346: E[0:01:04]-R[0:11:17]: Return=-62.00, Steps=36, Features = 2030
