============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	22.000
Batch Threshold:		22.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-22/4-results.txt
Learning Steps:		50000
Performance Checks:	1
Log Intervals:		1(s)
93: E[0:00:01]-R[0:09:43]: Return=-71.00, Steps=13, Features = 215
229: E[0:00:02]-R[0:07:49]: Return=-3.00, Steps=16, Features = 306
337: E[0:00:03]-R[0:07:48]: Return=-114.00, Steps=35, Features = 373
468: E[0:00:04]-R[0:07:48]: Return=-111.00, Steps=32, Features = 444
583: E[0:00:05]-R[0:07:42]: Return=-59.00, Steps=13, Features = 516
718: E[0:00:07]-R[0:07:31]: Return=-140.00, Steps=83, Features = 539
886: E[0:00:08]-R[0:07:50]: Return=-129.00, Steps=78, Features = 577
997: E[0:00:10]-R[0:07:50]: Return=-53.00, Steps=10, Features = 615
1091: E[0:00:11]-R[0:07:54]: Return=-57.00, Steps=13, Features = 648
1190: E[0:00:12]-R[0:07:58]: Return=-69.00, Steps=11, Features = 699
1268: E[0:00:13]-R[0:08:08]: Return=-72.00, Steps=26, Features = 733
1349: E[0:00:14]-R[0:08:22]: Return=-86.00, Steps=18, Features = 752
1425: E[0:00:15]-R[0:08:38]: Return=-85.00, Steps=19, Features = 808
1474: E[0:00:16]-R[0:08:55]: Return=-84.00, Steps=17, Features = 836
1559: E[0:00:17]-R[0:08:57]: Return=-65.00, Steps=18, Features = 890
1620: E[0:00:18]-R[0:09:11]: Return=-61.00, Steps=15, Features = 920
1692: E[0:00:20]-R[0:09:23]: Return=-37.00, Steps=11, Features = 960
1743: E[0:00:21]-R[0:09:36]: Return=-79.00, Steps=11, Features = 983
1798: E[0:00:22]-R[0:09:47]: Return=-77.00, Steps=11, Features = 1004
1881: E[0:00:23]-R[0:09:48]: Return=-78.00, Steps=13, Features = 1040
1974: E[0:00:24]-R[0:09:45]: Return=-58.00, Steps=11, Features = 1093
2082: E[0:00:25]-R[0:09:40]: Return=-96.00, Steps=26, Features = 1127
2137: E[0:00:26]-R[0:09:47]: Return=-74.00, Steps=10, Features = 1153
2229: E[0:00:28]-R[0:09:54]: Return=-55.00, Steps=40, Features = 1181
2316: E[0:00:29]-R[0:09:58]: Return=-84.00, Steps=14, Features = 1231
2358: E[0:00:30]-R[0:10:08]: Return=-17.00, Steps=11, Features = 1251
2446: E[0:00:31]-R[0:10:07]: Return=-61.00, Steps=13, Features = 1290
2542: E[0:00:32]-R[0:10:04]: Return=-77.00, Steps=12, Features = 1336
2627: E[0:00:33]-R[0:10:04]: Return=-75.00, Steps=12, Features = 1368
2717: E[0:00:35]-R[0:10:00]: Return=-76.00, Steps=31, Features = 1395
2804: E[0:00:36]-R[0:09:58]: Return=-77.00, Steps=10, Features = 1418
2879: E[0:00:37]-R[0:10:05]: Return=-57.00, Steps=28, Features = 1451
2932: E[0:00:38]-R[0:10:13]: Return=-73.00, Steps=11, Features = 1464
2989: E[0:00:39]-R[0:10:17]: Return=-56.00, Steps=10, Features = 1499
3057: E[0:00:40]-R[0:10:20]: Return=-32.00, Steps=27, Features = 1517
3120: E[0:00:41]-R[0:10:22]: Return=-81.00, Steps=26, Features = 1540
3217: E[0:00:43]-R[0:10:20]: Return=-94.00, Steps=26, Features = 1574
3302: E[0:00:44]-R[0:10:18]: Return=-79.00, Steps=13, Features = 1607
3402: E[0:00:45]-R[0:10:16]: Return=-45.00, Steps=26, Features = 1632
3486: E[0:00:46]-R[0:10:15]: Return=-35.00, Steps=10, Features = 1654
3583: E[0:00:47]-R[0:10:12]: Return=-73.00, Steps=26, Features = 1681
3640: E[0:00:48]-R[0:10:16]: Return=-77.00, Steps=11, Features = 1712
3700: E[0:00:50]-R[0:10:19]: Return=-48.00, Steps=26, Features = 1723
3751: E[0:00:51]-R[0:10:23]: Return=-44.00, Steps=18, Features = 1744
3848: E[0:00:52]-R[0:10:22]: Return=-84.00, Steps=43, Features = 1774
3930: E[0:00:53]-R[0:10:20]: Return=4.00, Steps=11, Features = 1795
4012: E[0:00:54]-R[0:10:18]: Return=-84.00, Steps=14, Features = 1807
4089: E[0:00:55]-R[0:10:17]: Return=-69.00, Steps=10, Features = 1831
4164: E[0:00:56]-R[0:10:17]: Return=-46.00, Steps=21, Features = 1864
4242: E[0:00:57]-R[0:10:17]: Return=-28.00, Steps=19, Features = 1889
4326: E[0:00:58]-R[0:10:16]: Return=-77.00, Steps=13, Features = 1915
4368: E[0:00:59]-R[0:10:21]: Return=-49.00, Steps=11, Features = 1932
4443: E[0:01:01]-R[0:10:21]: Return=-93.00, Steps=22, Features = 1953
4510: E[0:01:02]-R[0:10:22]: Return=-68.00, Steps=22, Features = 1974
4585: E[0:01:03]-R[0:10:22]: Return=-104.00, Steps=75, Features = 1984
4662: E[0:01:04]-R[0:10:21]: Return=-52.00, Steps=11, Features = 1997
4722: E[0:01:05]-R[0:10:22]: Return=-59.00, Steps=14, Features = 2020
4785: E[0:01:06]-R[0:10:25]: Return=-78.00, Steps=13, Features = 2026
4854: E[0:01:07]-R[0:10:26]: Return=-64.00, Steps=18, Features = 2040
4894: E[0:01:08]-R[0:10:31]: Return=-83.00, Steps=14, Features = 2047
4980: E[0:01:10]-R[0:10:31]: Return=-92.00, Steps=21, Features = 2066
5021: E[0:01:11]-R[0:10:36]: Return=-71.00, Steps=29, Features = 2079
5086: E[0:01:12]-R[0:10:39]: Return=-19.00, Steps=13, Features = 2105
5161: E[0:01:14]-R[0:10:41]: Return=-125.00, Steps=36, Features = 2126
5229: E[0:01:15]-R[0:10:41]: Return=-43.00, Steps=14, Features = 2156
5300: E[0:01:16]-R[0:10:41]: Return=-86.00, Steps=21, Features = 2177
5357: E[0:01:17]-R[0:10:42]: Return=-73.00, Steps=33, Features = 2191
5447: E[0:01:19]-R[0:10:42]: Return=-121.00, Steps=42, Features = 2205
5518: E[0:01:20]-R[0:10:43]: Return=-57.00, Steps=11, Features = 2236
5624: E[0:01:22]-R[0:10:46]: Return=-145.00, Steps=49, Features = 2254
5663: E[0:01:23]-R[0:10:50]: Return=-85.00, Steps=15, Features = 2273
5728: E[0:01:24]-R[0:10:51]: Return=-52.00, Steps=18, Features = 2288
5801: E[0:01:25]-R[0:10:50]: Return=-112.00, Steps=73, Features = 2291
5870: E[0:01:27]-R[0:10:52]: Return=-83.00, Steps=49, Features = 2310
5929: E[0:01:28]-R[0:10:53]: Return=-116.00, Steps=31, Features = 2318
6017: E[0:01:29]-R[0:10:53]: Return=-54.00, Steps=44, Features = 2340
6070: E[0:01:31]-R[0:10:56]: Return=-14.00, Steps=11, Features = 2354
6134: E[0:01:32]-R[0:10:56]: Return=-79.00, Steps=36, Features = 2359
6206: E[0:01:33]-R[0:10:55]: Return=-68.00, Steps=20, Features = 2384
6261: E[0:01:34]-R[0:10:56]: Return=-61.00, Steps=13, Features = 2412
6324: E[0:01:35]-R[0:10:56]: Return=-40.00, Steps=13, Features = 2448
6379: E[0:01:36]-R[0:10:58]: Return=-8.00, Steps=31, Features = 2479
6455: E[0:01:37]-R[0:10:56]: Return=-79.00, Steps=12, Features = 2504
6566: E[0:01:39]-R[0:10:53]: Return=-124.00, Steps=56, Features = 2522
6655: E[0:01:40]-R[0:10:51]: Return=-40.00, Steps=13, Features = 2535
6707: E[0:01:41]-R[0:10:52]: Return=-41.00, Steps=14, Features = 2548
6790: E[0:01:43]-R[0:10:54]: Return=-93.00, Steps=49, Features = 2575
6833: E[0:01:44]-R[0:10:57]: Return=-48.00, Steps=18, Features = 2584
6915: E[0:01:45]-R[0:10:56]: Return=-83.00, Steps=18, Features = 2590
6966: E[0:01:46]-R[0:10:57]: Return=-18.00, Steps=16, Features = 2602
7039: E[0:01:48]-R[0:10:58]: Return=-148.00, Steps=52, Features = 2610
7127: E[0:01:49]-R[0:10:56]: Return=-16.00, Steps=12, Features = 2622
7203: E[0:01:50]-R[0:10:54]: Return=-28.00, Steps=15, Features = 2643
7254: E[0:01:51]-R[0:10:56]: Return=-71.00, Steps=11, Features = 2655
7320: E[0:01:53]-R[0:10:59]: Return=-75.00, Steps=32, Features = 2664
7383: E[0:01:54]-R[0:10:59]: Return=-78.00, Steps=14, Features = 2677
7453: E[0:01:55]-R[0:10:58]: Return=-22.00, Steps=14, Features = 2701
7552: E[0:01:57]-R[0:10:58]: Return=-168.00, Steps=69, Features = 2718
7619: E[0:01:58]-R[0:10:59]: Return=-122.00, Steps=39, Features = 2737
7673: E[0:02:00]-R[0:11:00]: Return=-92.00, Steps=22, Features = 2750
7730: E[0:02:01]-R[0:11:00]: Return=-54.00, Steps=36, Features = 2764
7791: E[0:02:02]-R[0:11:00]: Return=-70.00, Steps=10, Features = 2776
7842: E[0:02:03]-R[0:11:00]: Return=-64.00, Steps=23, Features = 2788
7882: E[0:02:04]-R[0:11:02]: Return=45.00, Steps=10, Features = 2804
7970: E[0:02:05]-R[0:11:00]: Return=-81.00, Steps=59, Features = 2814
8017: E[0:02:06]-R[0:11:01]: Return=-87.00, Steps=26, Features = 2821
8084: E[0:02:07]-R[0:11:00]: Return=-2.00, Steps=15, Features = 2835
8155: E[0:02:08]-R[0:10:59]: Return=-11.00, Steps=26, Features = 2858
8202: E[0:02:10]-R[0:11:00]: Return=-60.00, Steps=12, Features = 2875
8266: E[0:02:11]-R[0:11:00]: Return=-105.00, Steps=38, Features = 2885
8333: E[0:02:12]-R[0:10:59]: Return=-80.00, Steps=14, Features = 2897
8377: E[0:02:13]-R[0:11:01]: Return=-80.00, Steps=31, Features = 2910
8433: E[0:02:14]-R[0:11:03]: Return=-64.00, Steps=14, Features = 2924
8506: E[0:02:16]-R[0:11:03]: Return=-76.00, Steps=13, Features = 2942
8552: E[0:02:17]-R[0:11:05]: Return=-71.00, Steps=22, Features = 2955
8594: E[0:02:18]-R[0:11:06]: Return=-24.00, Steps=30, Features = 2971
8661: E[0:02:19]-R[0:11:05]: Return=-38.00, Steps=13, Features = 2991
