============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	25.000
Batch Threshold:		25.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-25/3-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
95: E[0:00:01]-R[0:10:40]: Return=-87.00, Steps=50, Features = 165
220: E[0:00:02]-R[0:09:06]: Return=-134.00, Steps=50, Features = 259
368: E[0:00:04]-R[0:08:08]: Return=-132.00, Steps=41, Features = 340
433: E[0:00:05]-R[0:08:55]: Return=-62.00, Steps=22, Features = 387
532: E[0:00:06]-R[0:08:55]: Return=-94.00, Steps=31, Features = 439
687: E[0:00:07]-R[0:08:42]: Return=-155.00, Steps=55, Features = 512
783: E[0:00:08]-R[0:08:40]: Return=-109.00, Steps=30, Features = 560
847: E[0:00:09]-R[0:09:00]: Return=-54.00, Steps=18, Features = 600
959: E[0:00:10]-R[0:08:50]: Return=-210.00, Steps=91, Features = 618
1057: E[0:00:12]-R[0:09:16]: Return=-143.00, Steps=69, Features = 645
1178: E[0:00:13]-R[0:09:06]: Return=-38.00, Steps=23, Features = 709
1262: E[0:00:15]-R[0:09:32]: Return=-115.00, Steps=36, Features = 751
1340: E[0:00:16]-R[0:09:37]: Return=-83.00, Steps=26, Features = 782
1451: E[0:00:17]-R[0:09:32]: Return=-86.00, Steps=30, Features = 797
1576: E[0:00:19]-R[0:09:37]: Return=-88.00, Steps=59, Features = 829
1666: E[0:00:20]-R[0:09:38]: Return=-82.00, Steps=15, Features = 863
1760: E[0:00:21]-R[0:09:36]: Return=-110.00, Steps=40, Features = 894
1838: E[0:00:22]-R[0:09:40]: Return=-75.00, Steps=12, Features = 936
1941: E[0:00:23]-R[0:09:40]: Return=-85.00, Steps=43, Features = 959
2042: E[0:00:25]-R[0:09:37]: Return=-57.00, Steps=12, Features = 982
2107: E[0:00:26]-R[0:09:43]: Return=-93.00, Steps=23, Features = 1007
2209: E[0:00:27]-R[0:09:39]: Return=-59.00, Steps=15, Features = 1052
2279: E[0:00:28]-R[0:09:43]: Return=-76.00, Steps=13, Features = 1083
2369: E[0:00:29]-R[0:09:42]: Return=-114.00, Steps=48, Features = 1109
2462: E[0:00:30]-R[0:09:40]: Return=-56.00, Steps=11, Features = 1134
2517: E[0:00:31]-R[0:09:46]: Return=-69.00, Steps=11, Features = 1170
2591: E[0:00:32]-R[0:09:50]: Return=-14.00, Steps=10, Features = 1206
2676: E[0:00:33]-R[0:09:49]: Return=-82.00, Steps=15, Features = 1238
2794: E[0:00:35]-R[0:09:45]: Return=-23.00, Steps=33, Features = 1271
2864: E[0:00:36]-R[0:09:47]: Return=-56.00, Steps=10, Features = 1296
2960: E[0:00:37]-R[0:09:44]: Return=-75.00, Steps=10, Features = 1326
3114: E[0:00:39]-R[0:09:40]: Return=-107.00, Steps=67, Features = 1374
3206: E[0:00:40]-R[0:09:40]: Return=-71.00, Steps=10, Features = 1385
3277: E[0:00:41]-R[0:09:42]: Return=-65.00, Steps=18, Features = 1398
3339: E[0:00:42]-R[0:09:47]: Return=-82.00, Steps=30, Features = 1414
3440: E[0:00:43]-R[0:09:47]: Return=-42.00, Steps=30, Features = 1443
