============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	25.000
Batch Threshold:		25.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-25/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
136: E[0:00:01]-R[0:06:16]: Return=-90.00, Steps=20, Features = 207
230: E[0:00:02]-R[0:07:53]: Return=2.00, Steps=12, Features = 288
341: E[0:00:04]-R[0:09:22]: Return=-121.00, Steps=52, Features = 351
433: E[0:00:05]-R[0:09:37]: Return=-17.00, Steps=10, Features = 396
501: E[0:00:06]-R[0:10:04]: Return=-70.00, Steps=10, Features = 449
558: E[0:00:07]-R[0:10:34]: Return=-54.00, Steps=10, Features = 475
623: E[0:00:08]-R[0:10:51]: Return=-18.00, Steps=12, Features = 514
739: E[0:00:09]-R[0:10:14]: Return=-73.00, Steps=10, Features = 602
851: E[0:00:10]-R[0:09:51]: Return=-51.00, Steps=10, Features = 659
967: E[0:00:11]-R[0:09:36]: Return=-76.00, Steps=13, Features = 739
1041: E[0:00:12]-R[0:09:41]: Return=-44.00, Steps=25, Features = 785
1092: E[0:00:13]-R[0:10:00]: Return=-33.00, Steps=19, Features = 812
1186: E[0:00:15]-R[0:09:57]: Return=-58.00, Steps=12, Features = 866
1259: E[0:00:16]-R[0:10:05]: Return=-32.00, Steps=10, Features = 886
1354: E[0:00:17]-R[0:10:04]: Return=-88.00, Steps=19, Features = 914
1458: E[0:00:18]-R[0:10:00]: Return=-47.00, Steps=18, Features = 964
1543: E[0:00:19]-R[0:09:58]: Return=-35.00, Steps=10, Features = 1016
1638: E[0:00:20]-R[0:09:56]: Return=-38.00, Steps=20, Features = 1047
1704: E[0:00:21]-R[0:10:05]: Return=-12.00, Steps=12, Features = 1084
1783: E[0:00:23]-R[0:10:10]: Return=-79.00, Steps=25, Features = 1103
1876: E[0:00:24]-R[0:10:04]: Return=-77.00, Steps=11, Features = 1142
1952: E[0:00:25]-R[0:10:11]: Return=-75.00, Steps=22, Features = 1193
2026: E[0:00:26]-R[0:10:13]: Return=-91.00, Steps=24, Features = 1211
2112: E[0:00:27]-R[0:10:14]: Return=-72.00, Steps=19, Features = 1239
2182: E[0:00:28]-R[0:10:22]: Return=-74.00, Steps=15, Features = 1262
2233: E[0:00:30]-R[0:10:32]: Return=-17.00, Steps=13, Features = 1277
2291: E[0:00:31]-R[0:10:39]: Return=-101.00, Steps=28, Features = 1286
