============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	25.000
Batch Threshold:		25.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-25/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
131: E[0:00:01]-R[0:07:33]: Return=-179.00, Steps=131, Features = 58
270: E[0:00:02]-R[0:06:46]: Return=-75.00, Steps=13, Features = 151
392: E[0:00:03]-R[0:07:06]: Return=-77.00, Steps=25, Features = 284
492: E[0:00:04]-R[0:07:28]: Return=-71.00, Steps=11, Features = 328
572: E[0:00:06]-R[0:07:59]: Return=-78.00, Steps=13, Features = 370
646: E[0:00:07]-R[0:08:20]: Return=-39.00, Steps=12, Features = 408
759: E[0:00:08]-R[0:08:16]: Return=-79.00, Steps=14, Features = 472
862: E[0:00:09]-R[0:08:20]: Return=-77.00, Steps=14, Features = 517
949: E[0:00:10]-R[0:08:30]: Return=-99.00, Steps=23, Features = 552
1071: E[0:00:11]-R[0:08:19]: Return=-73.00, Steps=10, Features = 612
1159: E[0:00:12]-R[0:08:30]: Return=-35.00, Steps=11, Features = 659
1257: E[0:00:13]-R[0:08:38]: Return=-74.00, Steps=42, Features = 707
1390: E[0:00:15]-R[0:08:32]: Return=-72.00, Steps=35, Features = 757
1525: E[0:00:16]-R[0:08:25]: Return=-89.00, Steps=38, Features = 786
1634: E[0:00:17]-R[0:08:22]: Return=-79.00, Steps=27, Features = 830
1754: E[0:00:18]-R[0:08:27]: Return=-110.00, Steps=63, Features = 854
1813: E[0:00:19]-R[0:08:37]: Return=-129.00, Steps=46, Features = 861
1930: E[0:00:21]-R[0:08:46]: Return=-110.00, Steps=74, Features = 878
2036: E[0:00:22]-R[0:08:46]: Return=-39.00, Steps=15, Features = 937
2165: E[0:00:24]-R[0:08:42]: Return=-62.00, Steps=35, Features = 958
2256: E[0:00:25]-R[0:08:43]: Return=-42.00, Steps=24, Features = 978
2348: E[0:00:26]-R[0:08:43]: Return=-75.00, Steps=10, Features = 1014
2458: E[0:00:27]-R[0:08:41]: Return=-94.00, Steps=23, Features = 1050
2565: E[0:00:28]-R[0:08:38]: Return=-58.00, Steps=10, Features = 1090
2676: E[0:00:29]-R[0:08:36]: Return=-38.00, Steps=21, Features = 1115
2754: E[0:00:30]-R[0:08:38]: Return=-55.00, Steps=54, Features = 1137
2853: E[0:00:31]-R[0:08:38]: Return=-56.00, Steps=20, Features = 1171
2949: E[0:00:32]-R[0:08:36]: Return=-59.00, Steps=21, Features = 1200
3040: E[0:00:33]-R[0:08:36]: Return=-75.00, Steps=13, Features = 1240
3144: E[0:00:34]-R[0:08:34]: Return=-63.00, Steps=15, Features = 1271
3240: E[0:00:36]-R[0:08:34]: Return=-39.00, Steps=11, Features = 1301
3318: E[0:00:37]-R[0:08:37]: Return=-77.00, Steps=12, Features = 1322
3378: E[0:00:38]-R[0:08:45]: Return=-71.00, Steps=19, Features = 1338
3498: E[0:00:39]-R[0:08:45]: Return=-116.00, Steps=42, Features = 1368
3583: E[0:00:41]-R[0:08:47]: Return=-41.00, Steps=22, Features = 1379
3677: E[0:00:42]-R[0:08:47]: Return=-39.00, Steps=21, Features = 1405
3763: E[0:00:43]-R[0:08:53]: Return=-92.00, Steps=21, Features = 1432
3817: E[0:00:44]-R[0:08:58]: Return=-134.00, Steps=54, Features = 1435
3901: E[0:00:46]-R[0:08:59]: Return=-106.00, Steps=26, Features = 1460
3960: E[0:00:47]-R[0:09:03]: Return=-59.00, Steps=14, Features = 1489
4037: E[0:00:48]-R[0:09:04]: Return=-86.00, Steps=30, Features = 1506
4129: E[0:00:49]-R[0:09:03]: Return=-51.00, Steps=17, Features = 1534
4204: E[0:00:50]-R[0:09:08]: Return=-40.00, Steps=13, Features = 1559
4262: E[0:00:51]-R[0:09:11]: Return=-73.00, Steps=10, Features = 1572
4340: E[0:00:52]-R[0:09:11]: Return=-76.00, Steps=10, Features = 1595
4403: E[0:00:53]-R[0:09:13]: Return=-63.00, Steps=33, Features = 1611
4469: E[0:00:55]-R[0:09:19]: Return=-107.00, Steps=44, Features = 1622
4509: E[0:00:56]-R[0:09:25]: Return=-90.00, Steps=29, Features = 1625
4574: E[0:00:57]-R[0:09:27]: Return=-57.00, Steps=10, Features = 1644
4665: E[0:00:59]-R[0:09:32]: Return=-67.00, Steps=38, Features = 1662
4730: E[0:01:00]-R[0:09:35]: Return=-88.00, Steps=24, Features = 1677
4775: E[0:01:01]-R[0:09:39]: Return=-55.00, Steps=10, Features = 1687
4861: E[0:01:02]-R[0:09:38]: Return=-86.00, Steps=22, Features = 1710
4926: E[0:01:03]-R[0:09:39]: Return=-74.00, Steps=10, Features = 1729
4998: E[0:01:05]-R[0:09:41]: Return=-64.00, Steps=16, Features = 1750
5039: E[0:01:06]-R[0:09:45]: Return=-36.00, Steps=10, Features = 1769
5097: E[0:01:07]-R[0:09:49]: Return=3.00, Steps=10, Features = 1805
5174: E[0:01:08]-R[0:09:48]: Return=-31.00, Steps=10, Features = 1821
5257: E[0:01:09]-R[0:09:47]: Return=-75.00, Steps=34, Features = 1838
5334: E[0:01:10]-R[0:09:46]: Return=-35.00, Steps=10, Features = 1865
5413: E[0:01:11]-R[0:09:46]: Return=-77.00, Steps=21, Features = 1890
5506: E[0:01:12]-R[0:09:45]: Return=-90.00, Steps=32, Features = 1904
5629: E[0:01:14]-R[0:09:44]: Return=-58.00, Steps=46, Features = 1932
5727: E[0:01:16]-R[0:09:46]: Return=-16.00, Steps=48, Features = 1944
5839: E[0:01:17]-R[0:09:46]: Return=-64.00, Steps=58, Features = 1966
5924: E[0:01:19]-R[0:09:45]: Return=-77.00, Steps=12, Features = 1979
5965: E[0:01:20]-R[0:09:48]: Return=-32.00, Steps=10, Features = 1990
6043: E[0:01:21]-R[0:09:48]: Return=-46.00, Steps=29, Features = 2004
6122: E[0:01:22]-R[0:09:47]: Return=-69.00, Steps=10, Features = 2019
6207: E[0:01:23]-R[0:09:46]: Return=-135.00, Steps=74, Features = 2046
6289: E[0:01:24]-R[0:09:45]: Return=-71.00, Steps=18, Features = 2080
6346: E[0:01:25]-R[0:09:45]: Return=-67.00, Steps=10, Features = 2099
6422: E[0:01:26]-R[0:09:45]: Return=-36.00, Steps=11, Features = 2117
6506: E[0:01:27]-R[0:09:44]: Return=-61.00, Steps=30, Features = 2131
6598: E[0:01:28]-R[0:09:42]: Return=-59.00, Steps=25, Features = 2156
6712: E[0:01:30]-R[0:09:42]: Return=-107.00, Steps=33, Features = 2176
6787: E[0:01:32]-R[0:09:45]: Return=-69.00, Steps=30, Features = 2192
6838: E[0:01:33]-R[0:09:47]: Return=-13.00, Steps=10, Features = 2213
6916: E[0:01:34]-R[0:09:46]: Return=-69.00, Steps=17, Features = 2226
6995: E[0:01:35]-R[0:09:45]: Return=-86.00, Steps=19, Features = 2252
7082: E[0:01:36]-R[0:09:44]: Return=-82.00, Steps=31, Features = 2270
7155: E[0:01:38]-R[0:09:45]: Return=-17.00, Steps=11, Features = 2295
7231: E[0:01:39]-R[0:09:44]: Return=2.00, Steps=14, Features = 2306
7312: E[0:01:40]-R[0:09:43]: Return=-63.00, Steps=45, Features = 2320
7402: E[0:01:41]-R[0:09:43]: Return=-75.00, Steps=22, Features = 2335
7459: E[0:01:42]-R[0:09:44]: Return=-15.00, Steps=11, Features = 2341
7552: E[0:01:44]-R[0:09:42]: Return=-70.00, Steps=12, Features = 2360
7615: E[0:01:45]-R[0:09:42]: Return=-37.00, Steps=10, Features = 2381
7695: E[0:01:46]-R[0:09:42]: Return=-58.00, Steps=13, Features = 2399
7754: E[0:01:47]-R[0:09:42]: Return=-82.00, Steps=14, Features = 2411
7834: E[0:01:48]-R[0:09:41]: Return=-105.00, Steps=26, Features = 2429
7920: E[0:01:49]-R[0:09:39]: Return=-90.00, Steps=23, Features = 2440
8029: E[0:01:50]-R[0:09:37]: Return=-77.00, Steps=46, Features = 2458
8093: E[0:01:51]-R[0:09:37]: Return=-65.00, Steps=16, Features = 2475
8164: E[0:01:53]-R[0:09:38]: Return=-6.00, Steps=33, Features = 2491
8203: E[0:01:54]-R[0:09:41]: Return=-49.00, Steps=20, Features = 2495
8269: E[0:01:55]-R[0:09:41]: Return=-17.00, Steps=12, Features = 2511
8332: E[0:01:56]-R[0:09:41]: Return=-52.00, Steps=10, Features = 2525
8416: E[0:01:57]-R[0:09:40]: Return=23.00, Steps=22, Features = 2551
8470: E[0:01:58]-R[0:09:41]: Return=-55.00, Steps=13, Features = 2563
8529: E[0:02:00]-R[0:09:41]: Return=-48.00, Steps=18, Features = 2589
8600: E[0:02:01]-R[0:09:40]: Return=-75.00, Steps=16, Features = 2606
8674: E[0:02:02]-R[0:09:41]: Return=-30.00, Steps=22, Features = 2620
8711: E[0:02:03]-R[0:09:44]: Return=-47.00, Steps=16, Features = 2625
8773: E[0:02:04]-R[0:09:45]: Return=-83.00, Steps=23, Features = 2632
8843: E[0:02:06]-R[0:09:45]: Return=-77.00, Steps=42, Features = 2656
8908: E[0:02:07]-R[0:09:45]: Return=-92.00, Steps=18, Features = 2672
8983: E[0:02:08]-R[0:09:45]: Return=-80.00, Steps=16, Features = 2701
9032: E[0:02:09]-R[0:09:45]: Return=-67.00, Steps=23, Features = 2713
9096: E[0:02:10]-R[0:09:45]: Return=-91.00, Steps=20, Features = 2723
9166: E[0:02:11]-R[0:09:46]: Return=-72.00, Steps=20, Features = 2738
9222: E[0:02:13]-R[0:09:47]: Return=-31.00, Steps=30, Features = 2746
9278: E[0:02:14]-R[0:09:47]: Return=-32.00, Steps=12, Features = 2755
9354: E[0:02:15]-R[0:09:46]: Return=-12.00, Steps=28, Features = 2769
9413: E[0:02:16]-R[0:09:46]: Return=22.00, Steps=12, Features = 2789
9456: E[0:02:17]-R[0:09:49]: Return=-8.00, Steps=28, Features = 2798
9508: E[0:02:19]-R[0:09:51]: Return=-83.00, Steps=27, Features = 2818
9563: E[0:02:20]-R[0:09:53]: Return=52.00, Steps=23, Features = 2825
9617: E[0:02:21]-R[0:09:53]: Return=-34.00, Steps=12, Features = 2839
9705: E[0:02:23]-R[0:09:55]: Return=13.00, Steps=45, Features = 2849
9767: E[0:02:24]-R[0:09:55]: Return=-79.00, Steps=32, Features = 2862
9844: E[0:02:26]-R[0:09:55]: Return=-42.00, Steps=24, Features = 2877
9908: E[0:02:27]-R[0:09:56]: Return=-95.00, Steps=31, Features = 2887
9952: E[0:02:28]-R[0:09:58]: Return=-41.00, Steps=15, Features = 2893
10000 >>> E[0:02:30]-R[0:10:00]: Return=-75.00, Steps=63, Features = 2902
10057: E[0:02:31]-R[0:10:00]: Return=-50.00, Steps=10, Features = 2917
10083: E[0:02:32]-R[0:10:02]: Return=-82.00, Steps=14, Features = 2924
10121: E[0:02:33]-R[0:10:04]: Return=-72.00, Steps=11, Features = 2933
10164: E[0:02:35]-R[0:10:06]: Return=-50.00, Steps=27, Features = 2947
10222: E[0:02:36]-R[0:10:06]: Return=41.00, Steps=12, Features = 2975
10281: E[0:02:37]-R[0:10:05]: Return=-55.00, Steps=10, Features = 2993
10348: E[0:02:38]-R[0:10:05]: Return=-75.00, Steps=12, Features = 3013
10402: E[0:02:39]-R[0:10:05]: Return=-59.00, Steps=14, Features = 3022
10468: E[0:02:40]-R[0:10:04]: Return=-59.00, Steps=12, Features = 3035
10558: E[0:02:41]-R[0:10:03]: Return=-108.00, Steps=27, Features = 3050
10643: E[0:02:43]-R[0:10:03]: Return=8.00, Steps=27, Features = 3070
10683: E[0:02:44]-R[0:10:05]: Return=4.00, Steps=10, Features = 3081
10757: E[0:02:46]-R[0:10:05]: Return=-57.00, Steps=30, Features = 3100
10822: E[0:02:47]-R[0:10:05]: Return=-18.00, Steps=14, Features = 3110
10881: E[0:02:49]-R[0:10:06]: Return=-94.00, Steps=21, Features = 3123
10930: E[0:02:50]-R[0:10:07]: Return=-70.00, Steps=10, Features = 3129
10988: E[0:02:51]-R[0:10:07]: Return=19.00, Steps=42, Features = 3142
11055: E[0:02:52]-R[0:10:06]: Return=-58.00, Steps=13, Features = 3154
11099: E[0:02:53]-R[0:10:07]: Return=-19.00, Steps=19, Features = 3165
11148: E[0:02:54]-R[0:10:07]: Return=-71.00, Steps=20, Features = 3181
11234: E[0:02:55]-R[0:10:05]: Return=-129.00, Steps=46, Features = 3186
11304: E[0:02:57]-R[0:10:04]: Return=-67.00, Steps=18, Features = 3198
11351: E[0:02:58]-R[0:10:05]: Return=-74.00, Steps=11, Features = 3209
11422: E[0:02:59]-R[0:10:05]: Return=-53.00, Steps=25, Features = 3226
