============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	25.000
Batch Threshold:		25.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-25/4-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
119: E[0:00:01]-R[0:07:19]: Return=-83.00, Steps=16, Features = 184
257: E[0:00:02]-R[0:07:36]: Return=-136.00, Steps=40, Features = 282
350: E[0:00:03]-R[0:08:08]: Return=-70.00, Steps=10, Features = 345
520: E[0:00:05]-R[0:07:44]: Return=-150.00, Steps=55, Features = 420
631: E[0:00:06]-R[0:07:44]: Return=-39.00, Steps=14, Features = 492
706: E[0:00:07]-R[0:08:07]: Return=-36.00, Steps=13, Features = 550
792: E[0:00:08]-R[0:08:22]: Return=-71.00, Steps=10, Features = 573
891: E[0:00:09]-R[0:08:25]: Return=-81.00, Steps=15, Features = 620
966: E[0:00:10]-R[0:08:41]: Return=-78.00, Steps=16, Features = 651
1045: E[0:00:11]-R[0:08:51]: Return=-76.00, Steps=14, Features = 679
1137: E[0:00:12]-R[0:08:52]: Return=-60.00, Steps=24, Features = 706
1218: E[0:00:14]-R[0:09:04]: Return=-57.00, Steps=11, Features = 738
1300: E[0:00:15]-R[0:09:08]: Return=-36.00, Steps=20, Features = 766
1364: E[0:00:16]-R[0:09:18]: Return=-80.00, Steps=13, Features = 785
1419: E[0:00:17]-R[0:09:33]: Return=-73.00, Steps=12, Features = 817
1498: E[0:00:18]-R[0:09:36]: Return=-80.00, Steps=15, Features = 854
1578: E[0:00:19]-R[0:09:37]: Return=-69.00, Steps=15, Features = 878
1676: E[0:00:20]-R[0:09:32]: Return=-77.00, Steps=30, Features = 908
1779: E[0:00:21]-R[0:09:27]: Return=-21.00, Steps=12, Features = 927
1886: E[0:00:22]-R[0:09:22]: Return=-91.00, Steps=20, Features = 965
1973: E[0:00:23]-R[0:09:30]: Return=-76.00, Steps=22, Features = 995
2036: E[0:00:25]-R[0:09:38]: Return=-76.00, Steps=23, Features = 1017
2116: E[0:00:26]-R[0:09:40]: Return=-55.00, Steps=10, Features = 1055
2199: E[0:00:27]-R[0:09:42]: Return=-56.00, Steps=11, Features = 1070
2294: E[0:00:28]-R[0:09:40]: Return=-62.00, Steps=16, Features = 1109
2390: E[0:00:29]-R[0:09:36]: Return=-73.00, Steps=14, Features = 1158
2472: E[0:00:30]-R[0:09:38]: Return=-102.00, Steps=25, Features = 1194
2563: E[0:00:31]-R[0:09:36]: Return=-64.00, Steps=30, Features = 1230
2645: E[0:00:32]-R[0:09:38]: Return=-35.00, Steps=14, Features = 1251
2725: E[0:00:33]-R[0:09:39]: Return=-73.00, Steps=38, Features = 1277
2767: E[0:00:34]-R[0:09:47]: Return=-70.00, Steps=12, Features = 1293
2850: E[0:00:36]-R[0:09:49]: Return=-109.00, Steps=31, Features = 1313
2922: E[0:00:37]-R[0:09:54]: Return=-139.00, Steps=43, Features = 1322
2979: E[0:00:38]-R[0:10:02]: Return=-85.00, Steps=57, Features = 1329
3039: E[0:00:39]-R[0:10:06]: Return=-54.00, Steps=22, Features = 1343
3130: E[0:00:40]-R[0:10:04]: Return=-38.00, Steps=11, Features = 1375
3206: E[0:00:42]-R[0:10:09]: Return=-88.00, Steps=22, Features = 1390
3267: E[0:00:43]-R[0:10:16]: Return=-82.00, Steps=17, Features = 1405
3343: E[0:00:44]-R[0:10:16]: Return=-71.00, Steps=10, Features = 1420
3404: E[0:00:45]-R[0:10:21]: Return=-21.00, Steps=13, Features = 1446
3475: E[0:00:46]-R[0:10:21]: Return=-76.00, Steps=13, Features = 1474
3563: E[0:00:48]-R[0:10:28]: Return=-112.00, Steps=33, Features = 1499
3642: E[0:00:49]-R[0:10:27]: Return=-52.00, Steps=21, Features = 1529
3720: E[0:00:50]-R[0:10:25]: Return=-58.00, Steps=11, Features = 1550
3793: E[0:00:51]-R[0:10:25]: Return=-74.00, Steps=10, Features = 1590
3876: E[0:00:52]-R[0:10:24]: Return=-76.00, Steps=10, Features = 1633
3937: E[0:00:53]-R[0:10:25]: Return=-74.00, Steps=10, Features = 1653
4029: E[0:00:55]-R[0:10:24]: Return=-90.00, Steps=21, Features = 1666
