============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
9713: E[0:01:18]-R[0:05:25]: Return=-99.00, Steps=44, Features = 85
9863: E[0:01:19]-R[0:05:23]: Return=-63.00, Steps=38, Features = 85
10000 >>> E[0:01:20]-R[0:05:21]: Return=19.00, Steps=18, Features = 85
10158: E[0:01:21]-R[0:05:19]: Return=23.00, Steps=26, Features = 85
10317: E[0:01:22]-R[0:05:17]: Return=-135.00, Steps=44, Features = 86
10504: E[0:01:24]-R[0:05:15]: Return=-118.00, Steps=38, Features = 86
10639: E[0:01:25]-R[0:05:13]: Return=-61.00, Steps=15, Features = 86
10734: E[0:01:26]-R[0:05:14]: Return=-57.00, Steps=34, Features = 86
10856: E[0:01:27]-R[0:05:14]: Return=-66.00, Steps=15, Features = 86
10944: E[0:01:28]-R[0:05:15]: Return=-35.00, Steps=10, Features = 86
11126: E[0:01:29]-R[0:05:12]: Return=-110.00, Steps=29, Features = 86
11270: E[0:01:30]-R[0:05:11]: Return=-75.00, Steps=10, Features = 86
11403: E[0:01:32]-R[0:05:10]: Return=-69.00, Steps=30, Features = 86
11569: E[0:01:33]-R[0:05:09]: Return=-154.00, Steps=57, Features = 86
11739: E[0:01:34]-R[0:05:07]: Return=-106.00, Steps=25, Features = 86
11893: E[0:01:35]-R[0:05:05]: Return=-56.00, Steps=11, Features = 86
12025: E[0:01:36]-R[0:05:04]: Return=-16.00, Steps=10, Features = 86
12181: E[0:01:37]-R[0:05:02]: Return=-40.00, Steps=33, Features = 86
12311: E[0:01:38]-R[0:05:01]: Return=-35.00, Steps=13, Features = 86
12433: E[0:01:39]-R[0:05:00]: Return=-85.00, Steps=23, Features = 86
12634: E[0:01:41]-R[0:04:58]: Return=-114.00, Steps=62, Features = 86
12792: E[0:01:42]-R[0:04:56]: Return=-85.00, Steps=31, Features = 86
12894: E[0:01:43]-R[0:04:56]: Return=-85.00, Steps=16, Features = 86
13043: E[0:01:44]-R[0:04:54]: Return=-58.00, Steps=12, Features = 88
13205: E[0:01:45]-R[0:04:52]: Return=-135.00, Steps=44, Features = 88
13335: E[0:01:46]-R[0:04:52]: Return=-55.00, Steps=10, Features = 89
13440: E[0:01:47]-R[0:04:51]: Return=-98.00, Steps=20, Features = 89
13591: E[0:01:48]-R[0:04:50]: Return=-71.00, Steps=10, Features = 89
13735: E[0:01:49]-R[0:04:49]: Return=-73.00, Steps=18, Features = 89
13892: E[0:01:50]-R[0:04:47]: Return=-103.00, Steps=35, Features = 89
14051: E[0:01:52]-R[0:04:45]: Return=-109.00, Steps=39, Features = 89
14217: E[0:01:53]-R[0:04:44]: Return=-87.00, Steps=23, Features = 89
14375: E[0:01:54]-R[0:04:43]: Return=-91.00, Steps=25, Features = 89
14518: E[0:01:55]-R[0:04:41]: Return=-83.00, Steps=23, Features = 89
14713: E[0:01:57]-R[0:04:40]: Return=-124.00, Steps=40, Features = 89
14845: E[0:01:58]-R[0:04:39]: Return=-54.00, Steps=10, Features = 89
14965: E[0:01:59]-R[0:04:38]: Return=-58.00, Steps=10, Features = 89
15130: E[0:02:01]-R[0:04:38]: Return=-140.00, Steps=72, Features = 89
15230: E[0:02:02]-R[0:04:37]: Return=-62.00, Steps=15, Features = 90
15331: E[0:02:03]-R[0:04:37]: Return=-18.00, Steps=10, Features = 90
15478: E[0:02:04]-R[0:04:36]: Return=-65.00, Steps=10, Features = 90
15616: E[0:02:05]-R[0:04:35]: Return=-48.00, Steps=37, Features = 90
15775: E[0:02:06]-R[0:04:33]: Return=-72.00, Steps=10, Features = 90
15931: E[0:02:07]-R[0:04:31]: Return=-64.00, Steps=18, Features = 90
16062: E[0:02:08]-R[0:04:30]: Return=-96.00, Steps=20, Features = 91
16169: E[0:02:09]-R[0:04:30]: Return=-97.00, Steps=58, Features = 91
16309: E[0:02:10]-R[0:04:29]: Return=-93.00, Steps=28, Features = 91
16443: E[0:02:11]-R[0:04:28]: Return=-56.00, Steps=30, Features = 92
16620: E[0:02:12]-R[0:04:26]: Return=-100.00, Steps=37, Features = 94
16784: E[0:02:14]-R[0:04:25]: Return=-93.00, Steps=35, Features = 94
16926: E[0:02:15]-R[0:04:24]: Return=-24.00, Steps=29, Features = 94
17029: E[0:02:16]-R[0:04:24]: Return=-55.00, Steps=10, Features = 94
17128: E[0:02:17]-R[0:04:24]: Return=-103.00, Steps=27, Features = 94
17253: E[0:02:18]-R[0:04:23]: Return=-74.00, Steps=12, Features = 94
17396: E[0:02:20]-R[0:04:22]: Return=-115.00, Steps=69, Features = 94
17557: E[0:02:21]-R[0:04:21]: Return=-119.00, Steps=45, Features = 94
17637: E[0:02:22]-R[0:04:21]: Return=-57.00, Steps=16, Features = 94
17793: E[0:02:24]-R[0:04:20]: Return=-45.00, Steps=48, Features = 94
17911: E[0:02:25]-R[0:04:19]: Return=33.00, Steps=31, Features = 94
18012: E[0:02:26]-R[0:04:19]: Return=-83.00, Steps=16, Features = 94
18157: E[0:02:27]-R[0:04:18]: Return=-46.00, Steps=46, Features = 94
18279: E[0:02:28]-R[0:04:17]: Return=45.00, Steps=39, Features = 94
18434: E[0:02:30]-R[0:04:16]: Return=-55.00, Steps=42, Features = 95
18573: E[0:02:31]-R[0:04:15]: Return=-65.00, Steps=19, Features = 95
18697: E[0:02:32]-R[0:04:15]: Return=-129.00, Steps=53, Features = 95
18807: E[0:02:33]-R[0:04:14]: Return=-15.00, Steps=21, Features = 95
19021: E[0:02:35]-R[0:04:12]: Return=-84.00, Steps=71, Features = 95
