============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	65.000
Batch Threshold:		65.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-65/3-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
148: E[0:00:01]-R[0:05:48]: Return=-80.00, Steps=15, Features = 63
275: E[0:00:02]-R[0:06:10]: Return=-33.00, Steps=10, Features = 75
386: E[0:00:03]-R[0:06:47]: Return=-102.00, Steps=24, Features = 82
500: E[0:00:04]-R[0:07:06]: Return=-78.00, Steps=11, Features = 89
644: E[0:00:06]-R[0:07:07]: Return=-86.00, Steps=41, Features = 93
721: E[0:00:07]-R[0:07:30]: Return=6.00, Steps=10, Features = 94
874: E[0:00:08]-R[0:07:11]: Return=-75.00, Steps=13, Features = 94
993: E[0:00:09]-R[0:07:13]: Return=-85.00, Steps=22, Features = 98
1150: E[0:00:10]-R[0:06:59]: Return=-59.00, Steps=12, Features = 101
1258: E[0:00:11]-R[0:07:03]: Return=-57.00, Steps=19, Features = 106
1397: E[0:00:12]-R[0:06:59]: Return=-93.00, Steps=21, Features = 108
1557: E[0:00:13]-R[0:06:51]: Return=-59.00, Steps=27, Features = 112
1761: E[0:00:15]-R[0:06:45]: Return=-95.00, Steps=77, Features = 114
1910: E[0:00:16]-R[0:06:38]: Return=-85.00, Steps=17, Features = 115
2065: E[0:00:17]-R[0:06:31]: Return=-63.00, Steps=15, Features = 118
2198: E[0:00:18]-R[0:06:28]: Return=-13.00, Steps=11, Features = 120
2347: E[0:00:19]-R[0:06:23]: Return=-47.00, Steps=16, Features = 120
2501: E[0:00:20]-R[0:06:19]: Return=-77.00, Steps=11, Features = 125
2649: E[0:00:21]-R[0:06:20]: Return=-53.00, Steps=23, Features = 129
2788: E[0:00:22]-R[0:06:18]: Return=-17.00, Steps=10, Features = 135
2909: E[0:00:23]-R[0:06:19]: Return=1.00, Steps=10, Features = 138
3014: E[0:00:24]-R[0:06:21]: Return=-64.00, Steps=18, Features = 140
3097: E[0:00:25]-R[0:06:26]: Return=-54.00, Steps=10, Features = 143
3221: E[0:00:27]-R[0:06:25]: Return=-32.00, Steps=10, Features = 145
3334: E[0:00:28]-R[0:06:25]: Return=-36.00, Steps=10, Features = 146
3405: E[0:00:29]-R[0:06:30]: Return=-6.00, Steps=18, Features = 149
3528: E[0:00:30]-R[0:06:29]: Return=-50.00, Steps=17, Features = 149
3675: E[0:00:31]-R[0:06:25]: Return=-67.00, Steps=11, Features = 152
3800: E[0:00:32]-R[0:06:26]: Return=-48.00, Steps=18, Features = 153
3929: E[0:00:33]-R[0:06:24]: Return=-123.00, Steps=37, Features = 154
4103: E[0:00:34]-R[0:06:20]: Return=-72.00, Steps=61, Features = 154
4258: E[0:00:35]-R[0:06:17]: Return=-72.00, Steps=11, Features = 155
4379: E[0:00:36]-R[0:06:17]: Return=-74.00, Steps=11, Features = 156
4484: E[0:00:37]-R[0:06:18]: Return=-7.00, Steps=20, Features = 158
4604: E[0:00:38]-R[0:06:17]: Return=-21.00, Steps=15, Features = 159
4737: E[0:00:39]-R[0:06:15]: Return=-90.00, Steps=18, Features = 160
4850: E[0:00:40]-R[0:06:15]: Return=-155.00, Steps=62, Features = 160
4983: E[0:00:41]-R[0:06:13]: Return=-62.00, Steps=10, Features = 163
5092: E[0:00:42]-R[0:06:14]: Return=-71.00, Steps=10, Features = 166
5224: E[0:00:43]-R[0:06:13]: Return=-110.00, Steps=47, Features = 167
5390: E[0:00:45]-R[0:06:10]: Return=-65.00, Steps=33, Features = 169
5578: E[0:00:46]-R[0:06:06]: Return=-94.00, Steps=54, Features = 170
5725: E[0:00:47]-R[0:06:03]: Return=-104.00, Steps=35, Features = 170
5878: E[0:00:48]-R[0:06:01]: Return=-166.00, Steps=60, Features = 170
6032: E[0:00:49]-R[0:05:58]: Return=-71.00, Steps=10, Features = 170
6172: E[0:00:50]-R[0:05:58]: Return=-85.00, Steps=20, Features = 171
6311: E[0:00:51]-R[0:05:56]: Return=-60.00, Steps=15, Features = 173
6452: E[0:00:52]-R[0:05:54]: Return=-91.00, Steps=31, Features = 176
6599: E[0:00:53]-R[0:05:51]: Return=-10.00, Steps=10, Features = 176
6716: E[0:00:54]-R[0:05:51]: Return=-67.00, Steps=13, Features = 178
6811: E[0:00:56]-R[0:05:52]: Return=-101.00, Steps=34, Features = 181
6917: E[0:00:57]-R[0:05:54]: Return=-86.00, Steps=23, Features = 182
7011: E[0:00:58]-R[0:05:55]: Return=0.00, Steps=11, Features = 182
7110: E[0:00:59]-R[0:05:56]: Return=-56.00, Steps=27, Features = 186
7299: E[0:01:01]-R[0:05:56]: Return=-127.00, Steps=106, Features = 186
7407: E[0:01:02]-R[0:05:57]: Return=-77.00, Steps=27, Features = 186
7556: E[0:01:03]-R[0:05:54]: Return=-18.00, Steps=11, Features = 187
7678: E[0:01:04]-R[0:05:54]: Return=-55.00, Steps=10, Features = 187
7832: E[0:01:05]-R[0:05:51]: Return=-57.00, Steps=12, Features = 188
7998: E[0:01:06]-R[0:05:49]: Return=-62.00, Steps=30, Features = 189
8175: E[0:01:08]-R[0:05:46]: Return=-130.00, Steps=66, Features = 190
8283: E[0:01:09]-R[0:05:47]: Return=-61.00, Steps=35, Features = 190
8457: E[0:01:10]-R[0:05:46]: Return=-21.00, Steps=54, Features = 190
8605: E[0:01:12]-R[0:05:44]: Return=-59.00, Steps=15, Features = 190
8715: E[0:01:13]-R[0:05:44]: Return=-77.00, Steps=10, Features = 190
8825: E[0:01:14]-R[0:05:43]: Return=-18.00, Steps=10, Features = 190
8975: E[0:01:15]-R[0:05:42]: Return=-66.00, Steps=21, Features = 190
9070: E[0:01:16]-R[0:05:42]: Return=-47.00, Steps=27, Features = 191
9212: E[0:01:17]-R[0:05:42]: Return=-142.00, Steps=54, Features = 191
9324: E[0:01:18]-R[0:05:41]: Return=-71.00, Steps=11, Features = 194
9459: E[0:01:19]-R[0:05:40]: Return=-8.00, Steps=16, Features = 195
9554: E[0:01:21]-R[0:05:41]: Return=-76.00, Steps=21, Features = 196
9694: E[0:01:22]-R[0:05:39]: Return=-58.00, Steps=12, Features = 201
9810: E[0:01:23]-R[0:05:38]: Return=3.00, Steps=10, Features = 201
9944: E[0:01:24]-R[0:05:37]: Return=-52.00, Steps=11, Features = 206
10000 >>> E[0:01:24]-R[0:05:38]: Return=-44.00, Steps=17, Features = 206
