============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	65.000
Batch Threshold:		65.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-65/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
131: E[0:00:01]-R[0:06:26]: Return=-179.00, Steps=131, Features = 52
261: E[0:00:02]-R[0:07:02]: Return=-131.00, Steps=39, Features = 58
416: E[0:00:03]-R[0:06:29]: Return=-58.00, Steps=10, Features = 64
578: E[0:00:04]-R[0:06:09]: Return=-70.00, Steps=52, Features = 72
706: E[0:00:05]-R[0:06:19]: Return=-68.00, Steps=32, Features = 73
845: E[0:00:07]-R[0:06:22]: Return=-52.00, Steps=10, Features = 77
921: E[0:00:08]-R[0:06:52]: Return=-81.00, Steps=19, Features = 79
1034: E[0:00:09]-R[0:06:54]: Return=-30.00, Steps=10, Features = 85
1176: E[0:00:10]-R[0:06:51]: Return=-96.00, Steps=22, Features = 91
1294: E[0:00:11]-R[0:06:52]: Return=-80.00, Steps=15, Features = 91
1410: E[0:00:12]-R[0:06:56]: Return=-36.00, Steps=16, Features = 94
1485: E[0:00:13]-R[0:07:11]: Return=-48.00, Steps=19, Features = 97
1608: E[0:00:14]-R[0:07:14]: Return=-95.00, Steps=20, Features = 98
1727: E[0:00:16]-R[0:07:15]: Return=-79.00, Steps=36, Features = 104
1851: E[0:00:17]-R[0:07:14]: Return=-38.00, Steps=10, Features = 105
1978: E[0:00:18]-R[0:07:11]: Return=-91.00, Steps=21, Features = 111
2104: E[0:00:19]-R[0:07:09]: Return=-79.00, Steps=11, Features = 113
2203: E[0:00:20]-R[0:07:12]: Return=-13.00, Steps=10, Features = 115
2321: E[0:00:21]-R[0:07:10]: Return=-56.00, Steps=30, Features = 115
2410: E[0:00:22]-R[0:07:14]: Return=-74.00, Steps=11, Features = 123
2543: E[0:00:23]-R[0:07:10]: Return=-78.00, Steps=10, Features = 128
2671: E[0:00:24]-R[0:07:07]: Return=-77.00, Steps=35, Features = 128
2814: E[0:00:25]-R[0:07:01]: Return=-74.00, Steps=10, Features = 129
2955: E[0:00:26]-R[0:06:56]: Return=-79.00, Steps=33, Features = 130
3080: E[0:00:27]-R[0:06:54]: Return=-76.00, Steps=15, Features = 130
3241: E[0:00:28]-R[0:06:47]: Return=-61.00, Steps=16, Features = 130
3336: E[0:00:29]-R[0:06:50]: Return=-52.00, Steps=11, Features = 130
3436: E[0:00:31]-R[0:06:54]: Return=-104.00, Steps=32, Features = 131
3603: E[0:00:32]-R[0:06:48]: Return=-147.00, Steps=73, Features = 135
3738: E[0:00:33]-R[0:06:46]: Return=-71.00, Steps=11, Features = 136
3860: E[0:00:34]-R[0:06:44]: Return=-44.00, Steps=23, Features = 136
3936: E[0:00:35]-R[0:06:48]: Return=-67.00, Steps=10, Features = 136
4113: E[0:00:36]-R[0:06:45]: Return=-155.00, Steps=69, Features = 138
4214: E[0:00:37]-R[0:06:46]: Return=-37.00, Steps=11, Features = 139
4316: E[0:00:38]-R[0:06:47]: Return=-39.00, Steps=24, Features = 139
4393: E[0:00:40]-R[0:06:51]: Return=-50.00, Steps=12, Features = 142
4543: E[0:00:41]-R[0:06:47]: Return=22.00, Steps=35, Features = 143
4681: E[0:00:42]-R[0:06:43]: Return=5.00, Steps=37, Features = 145
4820: E[0:00:43]-R[0:06:40]: Return=-86.00, Steps=16, Features = 146
4944: E[0:00:44]-R[0:06:39]: Return=-74.00, Steps=12, Features = 147
5047: E[0:00:45]-R[0:06:39]: Return=-101.00, Steps=23, Features = 150
5203: E[0:00:46]-R[0:06:36]: Return=-124.00, Steps=39, Features = 152
5313: E[0:00:47]-R[0:06:36]: Return=-63.00, Steps=14, Features = 152
5447: E[0:00:48]-R[0:06:34]: Return=-17.00, Steps=14, Features = 152
5546: E[0:00:49]-R[0:06:36]: Return=14.00, Steps=17, Features = 156
5618: E[0:00:50]-R[0:06:39]: Return=-33.00, Steps=10, Features = 156
5751: E[0:00:52]-R[0:06:39]: Return=-110.00, Steps=91, Features = 156
5882: E[0:00:53]-R[0:06:37]: Return=-23.00, Steps=21, Features = 158
6023: E[0:00:54]-R[0:06:35]: Return=-80.00, Steps=34, Features = 159
6142: E[0:00:55]-R[0:06:33]: Return=-83.00, Steps=16, Features = 160
6248: E[0:00:56]-R[0:06:34]: Return=-136.00, Steps=61, Features = 161
6353: E[0:00:58]-R[0:06:36]: Return=-77.00, Steps=32, Features = 162
6471: E[0:00:59]-R[0:06:34]: Return=-16.00, Steps=10, Features = 162
6605: E[0:01:00]-R[0:06:32]: Return=-58.00, Steps=12, Features = 162
6713: E[0:01:01]-R[0:06:31]: Return=-78.00, Steps=13, Features = 163
6799: E[0:01:02]-R[0:06:32]: Return=-83.00, Steps=14, Features = 165
6954: E[0:01:03]-R[0:06:29]: Return=-68.00, Steps=10, Features = 169
7071: E[0:01:04]-R[0:06:28]: Return=-62.00, Steps=47, Features = 173
7211: E[0:01:05]-R[0:06:26]: Return=-94.00, Steps=30, Features = 175
7349: E[0:01:06]-R[0:06:24]: Return=-17.00, Steps=22, Features = 175
7491: E[0:01:07]-R[0:06:22]: Return=-60.00, Steps=37, Features = 182
7638: E[0:01:08]-R[0:06:19]: Return=4.00, Steps=10, Features = 182
7727: E[0:01:09]-R[0:06:20]: Return=-56.00, Steps=13, Features = 183
7824: E[0:01:11]-R[0:06:20]: Return=-81.00, Steps=13, Features = 183
7928: E[0:01:12]-R[0:06:20]: Return=-71.00, Steps=19, Features = 183
8090: E[0:01:13]-R[0:06:18]: Return=-57.00, Steps=29, Features = 187
8207: E[0:01:14]-R[0:06:17]: Return=1.00, Steps=11, Features = 191
8371: E[0:01:16]-R[0:06:16]: Return=-157.00, Steps=81, Features = 191
8498: E[0:01:17]-R[0:06:15]: Return=-23.00, Steps=13, Features = 193
8627: E[0:01:18]-R[0:06:13]: Return=-15.00, Steps=13, Features = 193
8726: E[0:01:19]-R[0:06:13]: Return=-73.00, Steps=18, Features = 194
8879: E[0:01:20]-R[0:06:10]: Return=-92.00, Steps=19, Features = 195
8971: E[0:01:21]-R[0:06:10]: Return=-73.00, Steps=11, Features = 196
9107: E[0:01:22]-R[0:06:09]: Return=-85.00, Steps=33, Features = 197
9252: E[0:01:24]-R[0:06:08]: Return=-101.00, Steps=47, Features = 198
9383: E[0:01:25]-R[0:06:07]: Return=-37.00, Steps=11, Features = 200
9515: E[0:01:26]-R[0:06:05]: Return=-58.00, Steps=13, Features = 201
9639: E[0:01:27]-R[0:06:04]: Return=-53.00, Steps=10, Features = 201
9763: E[0:01:28]-R[0:06:03]: Return=-35.00, Steps=13, Features = 201
9912: E[0:01:29]-R[0:06:00]: Return=-61.00, Steps=12, Features = 204
10000 >>> E[0:01:30]-R[0:05:59]: Return=-70.00, Steps=10, Features = 204
10104: E[0:01:31]-R[0:05:58]: Return=-83.00, Steps=16, Features = 205
10202: E[0:01:32]-R[0:05:58]: Return=-73.00, Steps=74, Features = 205
10346: E[0:01:33]-R[0:05:56]: Return=-70.00, Steps=10, Features = 207
10503: E[0:01:34]-R[0:05:54]: Return=-104.00, Steps=46, Features = 208
10654: E[0:01:35]-R[0:05:52]: Return=-55.00, Steps=12, Features = 208
10765: E[0:01:36]-R[0:05:51]: Return=-97.00, Steps=27, Features = 210
10921: E[0:01:37]-R[0:05:48]: Return=-4.00, Steps=32, Features = 212
11015: E[0:01:39]-R[0:05:49]: Return=-50.00, Steps=37, Features = 213
11120: E[0:01:40]-R[0:05:48]: Return=-38.00, Steps=14, Features = 215
