============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	65.000
Batch Threshold:		65.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-65/4-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
82: E[0:00:01]-R[0:10:15]: Return=-77.00, Steps=14, Features = 64
181: E[0:00:02]-R[0:09:46]: Return=-77.00, Steps=12, Features = 77
293: E[0:00:03]-R[0:09:11]: Return=-64.00, Steps=16, Features = 80
482: E[0:00:05]-R[0:08:28]: Return=-161.00, Steps=91, Features = 85
579: E[0:00:06]-R[0:08:29]: Return=-52.00, Steps=14, Features = 90
755: E[0:00:07]-R[0:07:46]: Return=-82.00, Steps=38, Features = 93
878: E[0:00:09]-R[0:08:02]: Return=-183.00, Steps=82, Features = 96
961: E[0:00:10]-R[0:08:11]: Return=-67.00, Steps=15, Features = 98
1071: E[0:00:11]-R[0:08:06]: Return=-81.00, Steps=19, Features = 101
1221: E[0:00:12]-R[0:07:48]: Return=-31.00, Steps=11, Features = 107
1321: E[0:00:13]-R[0:07:50]: Return=-44.00, Steps=14, Features = 109
1486: E[0:00:14]-R[0:07:41]: Return=-111.00, Steps=70, Features = 110
1578: E[0:00:15]-R[0:07:46]: Return=-82.00, Steps=15, Features = 114
1681: E[0:00:16]-R[0:07:50]: Return=-85.00, Steps=16, Features = 114
1822: E[0:00:17]-R[0:07:41]: Return=-40.00, Steps=13, Features = 119
1953: E[0:00:19]-R[0:07:35]: Return=-71.00, Steps=12, Features = 119
2063: E[0:00:20]-R[0:07:35]: Return=-85.00, Steps=16, Features = 125
2161: E[0:00:21]-R[0:07:37]: Return=-73.00, Steps=10, Features = 126
2327: E[0:00:22]-R[0:07:27]: Return=-89.00, Steps=29, Features = 128
2441: E[0:00:23]-R[0:07:28]: Return=-31.00, Steps=20, Features = 131
2563: E[0:00:24]-R[0:07:27]: Return=-47.00, Steps=10, Features = 134
2684: E[0:00:25]-R[0:07:24]: Return=-18.00, Steps=10, Features = 137
2827: E[0:00:26]-R[0:07:21]: Return=-84.00, Steps=14, Features = 140
2905: E[0:00:27]-R[0:07:25]: Return=-18.00, Steps=10, Features = 144
3052: E[0:00:28]-R[0:07:18]: Return=-78.00, Steps=12, Features = 145
3198: E[0:00:30]-R[0:07:14]: Return=-69.00, Steps=18, Features = 151
3328: E[0:00:31]-R[0:07:11]: Return=-95.00, Steps=21, Features = 152
3415: E[0:00:32]-R[0:07:17]: Return=-80.00, Steps=20, Features = 155
3559: E[0:00:33]-R[0:07:14]: Return=-46.00, Steps=26, Features = 159
3683: E[0:00:35]-R[0:07:14]: Return=-69.00, Steps=19, Features = 159
3823: E[0:00:36]-R[0:07:10]: Return=-52.00, Steps=10, Features = 162
