============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	65.000
Batch Threshold:		65.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-65/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
136: E[0:00:01]-R[0:06:46]: Return=-82.00, Steps=31, Features = 53
286: E[0:00:02]-R[0:06:24]: Return=-74.00, Steps=10, Features = 76
395: E[0:00:03]-R[0:06:55]: Return=-58.00, Steps=12, Features = 81
538: E[0:00:04]-R[0:06:50]: Return=-109.00, Steps=31, Features = 90
704: E[0:00:06]-R[0:06:31]: Return=-51.00, Steps=25, Features = 91
789: E[0:00:07]-R[0:06:53]: Return=-39.00, Steps=10, Features = 93
862: E[0:00:08]-R[0:07:19]: Return=-74.00, Steps=10, Features = 96
963: E[0:00:09]-R[0:07:30]: Return=-40.00, Steps=14, Features = 98
1093: E[0:00:10]-R[0:07:21]: Return=-74.00, Steps=10, Features = 101
1244: E[0:00:11]-R[0:07:07]: Return=-97.00, Steps=34, Features = 106
1390: E[0:00:12]-R[0:07:06]: Return=-91.00, Steps=22, Features = 111
1461: E[0:00:13]-R[0:07:19]: Return=-58.00, Steps=15, Features = 111
1590: E[0:00:14]-R[0:07:15]: Return=-78.00, Steps=14, Features = 114
1724: E[0:00:15]-R[0:07:09]: Return=-73.00, Steps=10, Features = 120
1871: E[0:00:16]-R[0:07:00]: Return=-70.00, Steps=10, Features = 123
1996: E[0:00:18]-R[0:07:02]: Return=-70.00, Steps=23, Features = 125
2196: E[0:00:19]-R[0:06:52]: Return=-114.00, Steps=55, Features = 126
2347: E[0:00:20]-R[0:06:45]: Return=-71.00, Steps=18, Features = 128
2492: E[0:00:21]-R[0:06:40]: Return=-31.00, Steps=10, Features = 132
2644: E[0:00:22]-R[0:06:35]: Return=-74.00, Steps=22, Features = 138
2807: E[0:00:23]-R[0:06:29]: Return=-37.00, Steps=28, Features = 141
2961: E[0:00:24]-R[0:06:24]: Return=-54.00, Steps=10, Features = 150
3091: E[0:00:25]-R[0:06:26]: Return=-69.00, Steps=23, Features = 157
3275: E[0:00:27]-R[0:06:25]: Return=-146.00, Steps=76, Features = 160
3420: E[0:00:28]-R[0:06:23]: Return=-105.00, Steps=73, Features = 160
3568: E[0:00:29]-R[0:06:21]: Return=-75.00, Steps=13, Features = 161
3686: E[0:00:30]-R[0:06:20]: Return=-31.00, Steps=17, Features = 165
3836: E[0:00:31]-R[0:06:19]: Return=14.00, Steps=33, Features = 169
3933: E[0:00:32]-R[0:06:21]: Return=-48.00, Steps=53, Features = 169
4007: E[0:00:34]-R[0:06:25]: Return=-35.00, Steps=10, Features = 170
4144: E[0:00:35]-R[0:06:23]: Return=-59.00, Steps=12, Features = 170
4259: E[0:00:36]-R[0:06:26]: Return=-90.00, Steps=35, Features = 170
4411: E[0:00:37]-R[0:06:22]: Return=-54.00, Steps=10, Features = 171
4557: E[0:00:38]-R[0:06:19]: Return=-58.00, Steps=12, Features = 176
4708: E[0:00:39]-R[0:06:16]: Return=-54.00, Steps=11, Features = 176
4819: E[0:00:40]-R[0:06:16]: Return=-54.00, Steps=10, Features = 179
4914: E[0:00:41]-R[0:06:17]: Return=-52.00, Steps=10, Features = 180
5004: E[0:00:42]-R[0:06:20]: Return=-72.00, Steps=20, Features = 180
5155: E[0:00:43]-R[0:06:17]: Return=-37.00, Steps=20, Features = 182
5302: E[0:00:44]-R[0:06:14]: Return=-61.00, Steps=13, Features = 186
5450: E[0:00:45]-R[0:06:11]: Return=-83.00, Steps=15, Features = 188
5543: E[0:00:47]-R[0:06:13]: Return=-73.00, Steps=10, Features = 194
5632: E[0:00:48]-R[0:06:15]: Return=-58.00, Steps=10, Features = 195
5738: E[0:00:49]-R[0:06:15]: Return=-67.00, Steps=10, Features = 196
5818: E[0:00:50]-R[0:06:17]: Return=-96.00, Steps=22, Features = 196
5963: E[0:00:51]-R[0:06:15]: Return=21.00, Steps=10, Features = 198
6121: E[0:00:52]-R[0:06:12]: Return=-67.00, Steps=20, Features = 198
6286: E[0:00:53]-R[0:06:11]: Return=-123.00, Steps=46, Features = 198
6403: E[0:00:54]-R[0:06:10]: Return=-52.00, Steps=11, Features = 201
6536: E[0:00:55]-R[0:06:08]: Return=-32.00, Steps=19, Features = 202
6677: E[0:00:56]-R[0:06:05]: Return=-73.00, Steps=19, Features = 205
6824: E[0:00:57]-R[0:06:03]: Return=-63.00, Steps=15, Features = 206
6971: E[0:00:58]-R[0:06:00]: Return=-62.00, Steps=10, Features = 209
7060: E[0:01:00]-R[0:06:02]: Return=-57.00, Steps=10, Features = 210
7148: E[0:01:01]-R[0:06:03]: Return=-61.00, Steps=16, Features = 210
7294: E[0:01:02]-R[0:06:01]: Return=-69.00, Steps=16, Features = 212
7421: E[0:01:03]-R[0:06:01]: Return=-66.00, Steps=29, Features = 214
7540: E[0:01:04]-R[0:06:00]: Return=-79.00, Steps=13, Features = 215
7662: E[0:01:05]-R[0:05:59]: Return=61.00, Steps=12, Features = 215
7782: E[0:01:06]-R[0:05:58]: Return=-108.00, Steps=28, Features = 216
7917: E[0:01:07]-R[0:05:57]: Return=-94.00, Steps=34, Features = 217
8002: E[0:01:08]-R[0:05:59]: Return=-58.00, Steps=23, Features = 219
8152: E[0:01:09]-R[0:05:56]: Return=-40.00, Steps=13, Features = 220
8338: E[0:01:11]-R[0:05:54]: Return=3.00, Steps=59, Features = 222
8487: E[0:01:12]-R[0:05:51]: Return=-84.00, Steps=15, Features = 223
8629: E[0:01:13]-R[0:05:49]: Return=-106.00, Steps=45, Features = 224
8780: E[0:01:14]-R[0:05:47]: Return=-32.00, Steps=10, Features = 227
8899: E[0:01:15]-R[0:05:47]: Return=-88.00, Steps=31, Features = 228
9000: E[0:01:16]-R[0:05:47]: Return=-16.00, Steps=19, Features = 228
9072: E[0:01:17]-R[0:05:49]: Return=-17.00, Steps=15, Features = 230
9212: E[0:01:18]-R[0:05:47]: Return=-32.00, Steps=10, Features = 230
9331: E[0:01:20]-R[0:05:47]: Return=-62.00, Steps=30, Features = 232
9452: E[0:01:21]-R[0:05:45]: Return=-70.00, Steps=35, Features = 234
9550: E[0:01:22]-R[0:05:46]: Return=-12.00, Steps=10, Features = 234
9624: E[0:01:23]-R[0:05:47]: Return=-52.00, Steps=10, Features = 234
9723: E[0:01:24]-R[0:05:47]: Return=-59.00, Steps=18, Features = 234
9860: E[0:01:25]-R[0:05:45]: Return=-108.00, Steps=34, Features = 234
9985: E[0:01:26]-R[0:05:45]: Return=-102.00, Steps=57, Features = 235
10000 >>> E[0:01:26]-R[0:05:45]: Return=-68.00, Steps=11, Features = 235
10111: E[0:01:27]-R[0:05:45]: Return=-78.00, Steps=55, Features = 237
10225: E[0:01:29]-R[0:05:45]: Return=-4.00, Steps=24, Features = 240
10369: E[0:01:30]-R[0:05:43]: Return=-110.00, Steps=31, Features = 242
